petal.width	variety
6.0	Versicolor
4.1	Virginica
2.0	Virginica
1.7	Setosa
4.3	Setosa
1.7	Setosa
2.4	Virginica
2.0	Versicolor
3.2	Versicolor
6.8	Virginica
5.0	Virginica
5.8	Virginica
4.8	Versicolor
5.8	Virginica
4.6	Versicolor
4.3	Versicolor
2.9	Versicolor
5.0	Virginica
0.7	Setosa
4.8	Versicolor
3.1	Virginica
2.8	Setosa
4.3	Setosa
4.5	Versicolor
1.9	Setosa
2.4	Setosa
1.7	Setosa
4.7	Virginica
3.2	Setosa
2.1	Setosa
4.6	Setosa
4.7	Setosa
3.5	Versicolor
0.5	Setosa
1.8	Setosa
1.9	Virginica
2.0	Versicolor
2.6	Versicolor
3.2	Setosa
0.2	Setosa
3.0	Versicolor
6.3	Virginica
3.0	Virginica
0.2	Setosa
6.4	Virginica
4.4	Versicolor
2.3	Virginica
0.2	Setosa
3.2	Setosa
4.2	Setosa
5.7	Virginica
3.5	Virginica
6.4	Virginica
3.8	Versicolor
5.0	Versicolor
3.7	Versicolor
4.2	Setosa
3.5	Virginica
4.4	Setosa
2.0	Versicolor
5.0	Virginica
5.3	Versicolor
2.0	Versicolor
1.3	Versicolor
3.3	Versicolor
2.3	Versicolor
3.5	Versicolor
6.3	Virginica
0.2	Setosa
3.7	Setosa
2.1	Setosa
2.6	Setosa
3.1	Setosa
6.7	Virginica
3.8	Versicolor
3.9	Versicolor
2.2	Setosa
5.4	Versicolor
4.0	Versicolor
6.6	Virginica
3.7	Setosa
0.7	Setosa
6.4	Virginica
2.5	Virginica
4.0	Versicolor
1.1	Versicolor
2.5	Versicolor
6.3	Virginica
0.2	Setosa
1.2	Versicolor
5.5	Versicolor
2.8	Versicolor
2.3	Virginica
6.0	Versicolor
5.4	Versicolor
4.7	Setosa
3.9	Setosa
1.8	Versicolor
2.7	Setosa
6.1	Virginica
1.7	Setosa
4.7	Setosa
1.8	Versicolor
4.8	Virginica
4.9	Versicolor
