petal.length	petal.width	variety
7.6	6.8	Virginica
5.0	4.4	Setosa
5.6	2.9	Virginica
5.9	1.2	Setosa
7.3	5.6	Versicolor
5.4	3.7	Setosa
6.0	1.3	Versicolor
8.6	4.4	Virginica
6.5	1.5	Versicolor
4.9	3.2	Setosa
3.3	4.2	Setosa
1.8	1.2	Setosa
7.1	4.6	Virginica
4.1	1.4	Setosa
5.8	4.3	Virginica
8.0	6.1	Versicolor
6.4	2.4	Versicolor
5.6	4.3	Virginica
4.0	1.7	Setosa
4.1	5.8	Versicolor
4.7	5.0	Versicolor
7.6	2.2	Virginica
1.9	2.7	Setosa
5.7	3.5	Versicolor
4.5	3.8	Setosa
7.6	5.8	Versicolor
6.4	3.2	Versicolor
7.8	3.3	Virginica
4.2	5.0	Setosa
4.3	1.4	Setosa
5.7	4.4	Setosa
5.2	5.0	Virginica
5.7	2.3	Versicolor
9.2	3.1	Versicolor
5.0	1.3	Versicolor
5.6	2.0	Versicolor
4.9	3.8	Setosa
1.6	0.2	Setosa
7.5	7.0	Virginica
8.0	1.8	Virginica
6.4	4.4	Versicolor
9.8	5.7	Virginica
8.2	4.7	Virginica
1.9	0.2	Setosa
9.1	3.4	Virginica
8.0	5.3	Versicolor
5.7	3.7	Versicolor
1.9	0.1	Setosa
11.1	6.6	Virginica
5.5	6.3	Virginica
5.4	6.3	Virginica
4.3	2.7	Setosa
3.0	5.6	Versicolor
3.5	1.1	Setosa
5.6	2.7	Setosa
5.9	2.2	Setosa
9.4	2.5	Virginica
5.9	5.3	Virginica
7.6	1.8	Versicolor
6.4	6.0	Versicolor
8.8	3.8	Virginica
5.0	2.7	Versicolor
8.0	2.3	Virginica
4.4	5.1	Versicolor
9.1	6.9	Virginica
2.7	1.8	Setosa
9.3	1.8	Versicolor
5.3	4.4	Versicolor
9.3	1.9	Virginica
5.6	1.7	Setosa
6.0	3.5	Versicolor
6.3	3.0	Versicolor
10.1	4.9	Virginica
6.7	6.3	Virginica
5.6	3.8	Versicolor
2.0	4.2	Setosa
7.0	5.0	Versicolor
6.5	6.0	Versicolor
4.5	3.2	Setosa
7.8	2.3	Virginica
6.1	5.8	Virginica
7.0	3.7	Virginica
5.2	3.9	Versicolor
4.9	4.3	Setosa
1.5	0.7	Setosa
5.2	1.8	Versicolor
2.3	2.7	Setosa
2.7	1.7	Setosa
7.2	4.1	Virginica
3.1	4.6	Setosa
6.9	4.5	Virginica
4.4	3.4	Setosa
7.2	5.9	Versicolor
8.1	2.9	Virginica
6.1	4.1	Versicolor
3.1	2.1	Setosa
9.2	3.2	Versicolor
6.9	4.8	Versicolor
7.5	2.9	Virginica
5.4	5.4	Versicolor
5.5	1.7	Setosa
3.7	4.2	Setosa
8.5	3.0	Versicolor
7.9	5.8	Virginica
7.7	3.5	Virginica
