sepal.length	sepal.width	petal.length	petal.width	variety
5.5	4.9	2.1	1.9	Setosa
6.8	4.6	5.6	2.7	Setosa
9.9	6.7	3.0	3.7	Setosa
7.4	5.7	4.8	4.3	Versicolor
4.8	3.5	5.6	3.1	Setosa
9.9	7.6	9.0	2.8	Virginica
4.8	5.5	2.9	0.1	Setosa
5.7	6.8	4.6	1.8	Versicolor
6.5	4.3	5.0	2.8	Versicolor
8.0	5.3	7.8	3.5	Versicolor
7.8	7.3	10.0	4.0	Virginica
8.0	7.7	5.6	4.5	Virginica
9.9	3.5	6.2	5.0	Versicolor
7.1	3.0	4.5	5.0	Versicolor
10.1	4.8	4.7	3.2	Versicolor
9.2	4.5	7.2	6.3	Virginica
7.2	5.0	8.8	1.6	Virginica
9.6	6.9	4.6	5.8	Versicolor
7.8	3.7	5.6	1.9	Virginica
10.3	2.5	8.5	2.9	Virginica
6.2	4.5	6.0	5.5	Virginica
8.7	2.9	4.8	5.3	Versicolor
8.3	4.1	4.0	4.2	Versicolor
8.6	3.3	4.5	3.3	Versicolor
6.3	6.9	9.6	3.3	Virginica
7.4	6.6	5.5	2.2	Setosa
10.3	2.3	6.9	3.3	Versicolor
8.0	4.5	4.6	0.6	Setosa
8.2	4.7	6.0	2.0	Versicolor
9.4	4.4	7.8	1.8	Versicolor
9.4	7.2	9.8	3.4	Virginica
5.4	5.4	5.8	4.5	Versicolor
7.8	7.4	2.1	4.7	Setosa
8.8	5.5	5.2	4.7	Setosa
8.3	4.7	9.1	2.9	Virginica
9.0	5.0	6.1	0.7	Setosa
7.8	4.5	2.9	2.8	Setosa
9.7	8.9	2.5	4.9	Setosa
7.9	5.8	6.6	2.9	Virginica
9.7	4.6	5.5	2.5	Versicolor
8.8	2.7	7.9	6.3	Virginica
8.7	5.3	10.2	4.5	Virginica
8.7	6.1	3.5	3.6	Setosa
5.1	5.2	6.0	4.9	Setosa
8.8	2.7	8.6	1.0	Versicolor
11.2	5.1	8.6	5.9	Virginica
6.2	5.7	6.1	2.2	Setosa
8.9	4.5	6.0	2.0	Versicolor
7.6	7.4	3.0	1.2	Setosa
6.9	6.2	9.8	5.3	Virginica
5.1	3.1	6.0	4.2	Setosa
10.0	6.3	5.1	5.0	Versicolor
7.3	6.3	5.8	2.9	Versicolor
7.9	5.2	3.8	3.2	Setosa
9.3	5.9	6.4	3.7	Setosa
10.2	4.6	8.9	4.8	Virginica
10.0	3.5	9.3	2.8	Virginica
7.9	8.4	1.3	3.4	Setosa
9.6	6.4	5.2	4.4	Versicolor
9.4	5.5	9.6	6.3	Virginica
11.1	6.5	8.4	5.6	Virginica
9.3	5.9	7.3	5.8	Virginica
7.8	7.2	2.0	2.2	Setosa
8.7	7.4	2.4	2.2	Setosa
11.3	4.5	6.0	5.1	Virginica
4.7	6.7	4.3	0.7	Setosa
9.1	4.8	1.7	0.5	Setosa
10.0	5.4	6.3	2.1	Versicolor
10.9	6.3	9.1	2.1	Virginica
7.8	3.7	4.9	1.2	Versicolor
6.6	3.4	4.9	4.8	Setosa
5.5	7.5	3.3	2.7	Setosa
7.4	5.6	1.9	1.1	Setosa
10.6	2.9	8.1	2.8	Versicolor
8.4	5.6	9.6	4.8	Virginica
7.3	3.2	9.9	5.8	Virginica
10.8	4.3	8.2	3.1	Versicolor
10.7	6.5	9.1	4.3	Virginica
9.4	6.9	1.7	4.7	Setosa
7.7	6.5	7.7	1.2	Versicolor
6.9	7.5	3.4	0.7	Setosa
9.0	5.0	8.0	5.0	Versicolor
9.6	7.5	7.1	5.6	Virginica
7.4	5.1	8.4	5.0	Versicolor
5.5	3.9	3.5	1.7	Setosa
8.9	4.3	6.6	6.2	Virginica
5.5	6.5	3.3	1.8	Setosa
9.0	4.7	4.7	3.7	Setosa
7.1	7.7	1.9	2.2	Setosa
8.4	7.2	6.2	2.8	Virginica
9.7	6.4	5.2	1.8	Versicolor
6.0	3.7	6.0	4.0	Versicolor
9.2	3.6	8.6	3.5	Virginica
8.6	5.0	5.6	1.3	Versicolor
7.7	3.4	5.4	3.8	Virginica
8.9	4.3	10.9	2.5	Virginica
9.0	4.4	9.0	3.0	Versicolor
8.7	2.8	5.3	2.3	Virginica
9.0	3.6	4.4	5.2	Versicolor
10.8	5.0	9.4	4.0	Versicolor
10.0	3.9	6.2	3.5	Versicolor
9.5	3.7	8.0	3.5	Virginica
7.8	7.4	8.6	3.9	Virginica
10.2	5.8	7.0	2.3	Versicolor
10.5	5.0	7.5	2.3	Virginica
