sepal.length	variety
7.0	Versicolor
7.5	Versicolor
5.6	Versicolor
9.9	Versicolor
7.9	Setosa
5.8	Setosa
11.2	Virginica
5.3	Setosa
7.9	Setosa
6.3	Setosa
8.1	Virginica
9.8	Versicolor
7.7	Virginica
11.2	Virginica
7.1	Virginica
8.0	Virginica
7.8	Versicolor
5.7	Setosa
5.4	Setosa
6.6	Versicolor
8.5	Versicolor
11.2	Versicolor
8.2	Virginica
7.0	Setosa
7.7	Virginica
9.6	Virginica
5.8	Virginica
7.5	Versicolor
7.1	Versicolor
7.6	Setosa
9.2	Versicolor
9.7	Virginica
9.0	Setosa
6.4	Virginica
8.7	Versicolor
7.9	Setosa
7.6	Virginica
6.1	Setosa
6.3	Virginica
9.3	Setosa
7.3	Virginica
6.5	Setosa
8.2	Versicolor
6.9	Versicolor
5.6	Setosa
9.2	Virginica
10.1	Versicolor
8.4	Virginica
5.7	Versicolor
8.2	Virginica
8.6	Setosa
9.9	Virginica
8.3	Versicolor
7.2	Virginica
6.0	Setosa
7.0	Virginica
8.4	Setosa
5.1	Setosa
5.3	Setosa
9.1	Virginica
7.0	Versicolor
6.8	Versicolor
4.9	Setosa
9.9	Virginica
5.5	Setosa
8.8	Virginica
7.7	Versicolor
9.5	Versicolor
5.9	Setosa
7.5	Setosa
9.5	Setosa
6.1	Versicolor
8.2	Setosa
8.4	Virginica
8.7	Setosa
5.9	Setosa
6.6	Setosa
9.2	Virginica
9.1	Versicolor
7.2	Versicolor
11.9	Virginica
9.8	Virginica
9.0	Setosa
8.2	Virginica
11.2	Virginica
10.4	Versicolor
7.6	Setosa
11.4	Virginica
8.8	Versicolor
7.7	Virginica
7.9	Versicolor
9.0	Versicolor
8.5	Virginica
5.4	Setosa
8.6	Setosa
7.5	Versicolor
6.3	Versicolor
10.5	Virginica
9.0	Versicolor
7.1	Setosa
9.2	Virginica
9.2	Versicolor
9.1	Versicolor
8.4	Versicolor
7.6	Versicolor
