sepal.length	variety
8.5	Versicolor
10.9	Virginica
7.8	Virginica
6.2	Versicolor
9.2	Versicolor
6.8	Setosa
5.3	Setosa
9.7	Setosa
10.6	Versicolor
7.6	Setosa
10.8	Versicolor
10.8	Versicolor
6.5	Setosa
6.8	Virginica
10.3	Virginica
8.9	Setosa
6.1	Setosa
9.6	Versicolor
8.2	Versicolor
4.4	Setosa
9.2	Versicolor
7.4	Virginica
9.1	Setosa
8.4	Virginica
8.0	Versicolor
6.8	Virginica
9.0	Versicolor
11.1	Versicolor
5.0	Setosa
6.6	Setosa
5.4	Setosa
5.8	Versicolor
6.1	Versicolor
9.9	Setosa
9.3	Virginica
10.2	Virginica
9.9	Virginica
7.3	Setosa
5.9	Setosa
4.9	Setosa
7.0	Virginica
6.4	Virginica
8.1	Setosa
5.1	Setosa
9.7	Versicolor
9.6	Setosa
7.6	Virginica
6.5	Setosa
8.9	Versicolor
6.4	Setosa
7.3	Virginica
7.2	Setosa
6.4	Setosa
12.2	Virginica
4.4	Setosa
10.7	Virginica
9.3	Versicolor
10.9	Versicolor
6.0	Versicolor
8.6	Virginica
8.5	Versicolor
5.2	Setosa
10.0	Virginica
10.2	Versicolor
8.0	Virginica
6.5	Virginica
9.2	Setosa
5.0	Setosa
9.9	Versicolor
7.9	Virginica
11.2	Virginica
7.2	Virginica
6.7	Setosa
6.5	Versicolor
9.3	Virginica
9.2	Virginica
9.1	Setosa
8.6	Versicolor
10.4	Virginica
10.0	Versicolor
7.5	Versicolor
5.8	Setosa
5.5	Setosa
7.9	Virginica
9.1	Versicolor
6.5	Virginica
10.9	Versicolor
6.6	Versicolor
8.2	Versicolor
11.6	Virginica
5.7	Versicolor
8.8	Setosa
9.9	Versicolor
9.0	Virginica
5.8	Virginica
11.9	Virginica
5.3	Setosa
8.4	Versicolor
7.9	Setosa
6.7	Setosa
6.7	Versicolor
5.4	Versicolor
6.6	Virginica
6.9	Virginica
10.3	Virginica
