petal.width	variety
5.4	Virginica
1.4	Versicolor
3.3	Setosa
2.2	Setosa
0.7	Setosa
3.0	Virginica
2.2	Setosa
3.6	Virginica
6.3	Virginica
4.0	Versicolor
3.6	Setosa
6.3	Virginica
0.9	Setosa
1.7	Versicolor
2.4	Setosa
1.3	Versicolor
5.5	Versicolor
3.7	Setosa
1.3	Versicolor
1.8	Versicolor
4.1	Versicolor
3.2	Versicolor
2.3	Virginica
0.7	Setosa
4.1	Versicolor
2.0	Virginica
2.5	Versicolor
4.3	Versicolor
0.7	Setosa
4.6	Virginica
4.4	Setosa
4.7	Virginica
0.3	Setosa
4.5	Virginica
5.4	Virginica
1.6	Setosa
3.9	Setosa
5.8	Virginica
1.6	Setosa
1.9	Setosa
3.0	Versicolor
6.5	Virginica
3.7	Setosa
5.5	Versicolor
3.2	Setosa
2.6	Versicolor
2.4	Virginica
3.7	Setosa
3.0	Virginica
4.1	Versicolor
0.2	Setosa
4.8	Versicolor
4.3	Versicolor
1.4	Versicolor
1.2	Setosa
0.2	Setosa
5.5	Versicolor
2.3	Virginica
4.5	Virginica
3.8	Virginica
3.8	Virginica
4.2	Virginica
4.2	Setosa
4.0	Versicolor
2.3	Virginica
3.2	Setosa
1.7	Setosa
2.5	Versicolor
2.3	Versicolor
6.0	Versicolor
2.4	Versicolor
4.7	Versicolor
4.3	Setosa
2.8	Setosa
0.2	Setosa
3.3	Virginica
2.2	Setosa
3.3	Virginica
4.0	Virginica
3.6	Setosa
6.1	Virginica
3.5	Virginica
6.3	Virginica
1.8	Versicolor
2.8	Versicolor
1.7	Setosa
3.9	Setosa
2.7	Versicolor
1.3	Setosa
4.6	Virginica
1.5	Versicolor
5.8	Virginica
2.7	Virginica
3.8	Virginica
2.8	Versicolor
5.8	Virginica
4.5	Setosa
3.3	Virginica
6.5	Virginica
6.0	Versicolor
4.9	Virginica
3.2	Setosa
2.5	Virginica
1.3	Setosa
1.8	Setosa
