petal.width	variety
4.5	Versicolor
0.7	Setosa
2.7	Setosa
2.2	Setosa
5.0	Virginica
3.2	Setosa
3.3	Virginica
2.2	Virginica
4.2	Setosa
4.9	Virginica
6.3	Virginica
3.2	Setosa
1.7	Setosa
4.7	Versicolor
4.5	Virginica
4.7	Versicolor
1.2	Versicolor
2.7	Virginica
3.9	Virginica
1.8	Virginica
4.5	Versicolor
2.9	Setosa
3.3	Versicolor
5.6	Virginica
4.4	Versicolor
3.0	Versicolor
1.8	Versicolor
2.5	Versicolor
3.8	Versicolor
5.5	Versicolor
2.2	Versicolor
5.8	Versicolor
0.6	Setosa
0.2	Setosa
2.1	Virginica
1.7	Setosa
0.4	Setosa
4.3	Virginica
2.8	Virginica
4.3	Virginica
4.0	Versicolor
5.3	Versicolor
3.7	Versicolor
3.1	Virginica
2.4	Versicolor
2.7	Setosa
0.7	Setosa
2.3	Versicolor
0.3	Setosa
3.7	Virginica
2.5	Virginica
5.0	Virginica
4.4	Setosa
1.7	Setosa
3.2	Versicolor
4.6	Setosa
3.6	Versicolor
5.9	Virginica
2.9	Versicolor
0.7	Setosa
4.5	Versicolor
3.5	Versicolor
4.8	Setosa
5.4	Versicolor
6.4	Virginica
5.8	Versicolor
6.3	Virginica
6.7	Virginica
4.3	Virginica
4.5	Versicolor
5.0	Setosa
2.3	Virginica
0.8	Setosa
5.3	Virginica
3.7	Setosa
1.7	Setosa
3.7	Setosa
1.1	Setosa
3.0	Versicolor
4.2	Setosa
4.2	Setosa
6.1	Versicolor
5.3	Virginica
2.7	Setosa
2.6	Setosa
3.4	Virginica
4.3	Setosa
4.5	Versicolor
3.0	Virginica
1.7	Setosa
3.8	Setosa
0.7	Setosa
3.4	Setosa
5.8	Versicolor
4.3	Versicolor
3.6	Versicolor
1.5	Versicolor
3.4	Setosa
2.3	Virginica
1.3	Setosa
3.1	Virginica
2.3	Versicolor
4.5	Versicolor
5.3	Virginica
4.0	Virginica
