sepal.length	variety
8.9	Virginica
6.7	Setosa
5.4	Versicolor
5.0	Versicolor
5.4	Versicolor
8.4	Setosa
5.0	Setosa
7.3	Versicolor
7.9	Versicolor
7.8	Virginica
9.1	Virginica
8.8	Virginica
9.8	Versicolor
8.9	Versicolor
5.6	Setosa
8.6	Versicolor
5.5	Setosa
10.1	Versicolor
8.5	Versicolor
9.4	Setosa
9.4	Setosa
7.2	Versicolor
7.6	Versicolor
9.1	Setosa
8.5	Versicolor
7.7	Setosa
5.5	Versicolor
8.4	Virginica
10.7	Versicolor
6.0	Virginica
5.0	Setosa
8.2	Virginica
6.1	Setosa
8.9	Virginica
8.3	Virginica
8.8	Setosa
9.7	Versicolor
8.7	Virginica
12.2	Virginica
5.1	Setosa
10.6	Versicolor
7.6	Setosa
8.1	Versicolor
8.0	Versicolor
9.6	Setosa
9.0	Virginica
7.9	Setosa
6.5	Setosa
9.0	Versicolor
5.7	Setosa
7.3	Versicolor
6.3	Virginica
8.4	Virginica
6.1	Virginica
10.2	Virginica
6.7	Virginica
8.5	Setosa
6.8	Setosa
6.9	Versicolor
4.6	Setosa
8.0	Setosa
9.1	Virginica
9.8	Virginica
10.7	Virginica
10.0	Versicolor
11.2	Versicolor
5.4	Setosa
11.8	Virginica
5.6	Setosa
7.1	Virginica
8.7	Versicolor
11.2	Virginica
11.2	Virginica
8.7	Versicolor
9.5	Versicolor
8.0	Setosa
9.0	Versicolor
4.8	Setosa
7.3	Versicolor
7.3	Setosa
7.2	Versicolor
7.2	Versicolor
6.0	Setosa
7.6	Versicolor
10.8	Virginica
6.7	Versicolor
8.1	Versicolor
6.7	Setosa
6.8	Virginica
10.6	Virginica
7.7	Virginica
6.2	Virginica
6.9	Setosa
6.6	Versicolor
10.5	Virginica
8.9	Virginica
7.3	Setosa
7.0	Versicolor
5.2	Setosa
10.3	Setosa
5.0	Versicolor
9.5	Setosa
5.1	Setosa
11.3	Virginica
7.5	Virginica
