sepal.width	petal.length	variety
2.9	6.8	Versicolor
5.7	5.8	Virginica
6.0	9.0	Virginica
4.8	2.8	Setosa
7.5	9.6	Virginica
3.7	9.5	Virginica
7.1	7.1	Virginica
3.8	5.6	Virginica
6.5	8.4	Virginica
5.7	6.6	Virginica
7.4	5.1	Versicolor
5.9	2.9	Setosa
4.9	8.2	Versicolor
3.2	4.7	Versicolor
7.0	7.1	Virginica
5.0	4.2	Setosa
7.5	3.5	Setosa
5.3	5.6	Setosa
3.5	8.5	Versicolor
5.6	7.4	Virginica
6.5	4.4	Setosa
6.3	5.5	Versicolor
3.4	2.9	Setosa
2.7	5.0	Virginica
3.6	10.4	Virginica
4.3	9.5	Virginica
5.1	7.1	Virginica
4.9	9.6	Virginica
5.0	8.0	Versicolor
4.3	7.7	Virginica
4.9	1.5	Setosa
5.1	9.1	Virginica
4.0	5.5	Virginica
2.9	7.2	Versicolor
2.5	9.5	Virginica
4.4	4.6	Setosa
3.3	5.4	Virginica
7.8	4.5	Setosa
3.0	6.7	Virginica
3.2	7.4	Versicolor
5.0	3.1	Setosa
5.0	3.8	Setosa
6.5	6.4	Versicolor
5.2	2.0	Setosa
6.8	6.5	Versicolor
7.2	9.6	Versicolor
3.3	5.0	Versicolor
8.3	1.7	Setosa
3.2	3.8	Setosa
5.6	4.0	Setosa
3.6	4.0	Versicolor
3.3	4.2	Setosa
5.6	7.6	Virginica
6.8	7.9	Virginica
6.0	5.6	Setosa
6.3	8.7	Virginica
5.5	4.9	Setosa
7.5	6.0	Versicolor
6.4	6.3	Virginica
4.3	6.8	Versicolor
2.5	7.0	Versicolor
7.5	5.3	Setosa
5.0	4.9	Versicolor
5.3	6.2	Versicolor
6.2	4.1	Versicolor
5.2	5.8	Virginica
4.2	1.7	Setosa
4.0	6.3	Virginica
2.9	3.4	Setosa
3.0	6.6	Versicolor
3.5	5.4	Setosa
6.0	8.9	Versicolor
4.8	6.4	Versicolor
5.1	6.0	Setosa
3.4	2.4	Setosa
5.7	4.9	Setosa
4.5	5.5	Versicolor
5.1	2.5	Setosa
4.1	8.0	Versicolor
5.5	5.7	Versicolor
5.1	3.9	Setosa
3.2	7.5	Versicolor
3.4	4.5	Versicolor
3.8	4.6	Versicolor
4.9	7.1	Versicolor
2.8	7.3	Versicolor
3.0	5.6	Virginica
2.7	7.5	Versicolor
3.2	8.9	Virginica
5.2	7.8	Versicolor
4.4	6.8	Versicolor
3.8	6.2	Virginica
3.7	4.9	Virginica
4.5	5.0	Virginica
7.5	4.1	Versicolor
6.3	10.1	Virginica
5.0	9.7	Virginica
7.9	5.2	Setosa
7.8	1.9	Setosa
5.7	3.4	Setosa
6.0	4.5	Versicolor
4.4	4.5	Setosa
5.3	7.6	Virginica
6.3	6.1	Versicolor
5.8	9.2	Versicolor
