sepal.length	sepal.width	petal.length	petal.width	variety
8.6	2.9	6.6	5.8	Versicolor
7.2	7.5	7.2	3.2	Versicolor
7.3	6.9	8.1	6.3	Virginica
7.9	6.3	7.1	5.7	Virginica
6.1	6.3	5.1	0.2	Setosa
7.8	5.5	9.0	2.1	Virginica
8.1	6.5	8.9	5.9	Versicolor
9.2	8.3	8.7	5.2	Virginica
6.9	5.0	5.2	4.5	Versicolor
9.6	7.0	5.5	3.6	Versicolor
5.5	5.6	1.9	4.2	Setosa
6.8	7.5	1.9	2.6	Setosa
9.6	5.9	5.5	3.2	Setosa
8.5	4.5	5.5	3.3	Virginica
8.5	6.5	4.3	0.7	Setosa
9.4	5.1	6.1	6.8	Virginica
7.9	5.4	5.4	4.7	Setosa
8.8	5.0	7.5	3.4	Virginica
7.5	3.8	3.4	4.2	Setosa
11.1	5.9	9.1	4.8	Versicolor
9.0	4.1	7.4	2.7	Versicolor
6.4	6.2	1.5	1.7	Setosa
8.5	4.5	4.3	2.3	Setosa
5.7	8.0	3.5	1.2	Setosa
5.5	5.0	1.6	3.1	Setosa
9.0	2.0	3.5	3.0	Versicolor
6.1	3.7	2.0	0.9	Setosa
10.2	3.2	6.5	5.3	Virginica
9.3	4.8	9.0	5.0	Virginica
8.3	5.9	4.4	0.2	Setosa
6.7	5.5	9.0	1.7	Versicolor
7.2	2.9	7.8	3.3	Versicolor
6.9	7.5	6.0	1.5	Versicolor
10.1	6.0	7.1	4.8	Versicolor
6.5	6.2	5.2	1.7	Setosa
9.2	5.0	8.8	2.6	Virginica
9.8	4.9	8.1	3.9	Virginica
10.7	6.6	6.6	6.9	Virginica
7.1	3.0	5.5	2.0	Versicolor
10.2	3.8	7.7	2.0	Virginica
6.8	4.5	4.1	4.6	Setosa
7.5	4.3	5.5	5.3	Versicolor
7.3	5.7	4.6	1.5	Versicolor
7.1	4.0	8.4	4.1	Virginica
7.9	3.5	3.8	3.2	Setosa
9.9	6.0	7.1	3.3	Virginica
4.9	6.5	4.9	2.2	Setosa
9.1	3.8	4.9	3.4	Setosa
6.6	6.6	6.0	0.2	Setosa
8.9	5.6	2.9	3.6	Setosa
6.2	2.8	8.6	2.3	Versicolor
7.0	7.9	6.0	4.2	Setosa
6.6	7.5	2.4	1.8	Setosa
6.8	4.3	7.1	3.0	Virginica
7.9	3.5	7.0	1.7	Virginica
6.6	4.8	6.4	4.5	Virginica
10.1	3.3	5.2	3.7	Versicolor
7.5	3.5	7.3	2.7	Virginica
6.2	3.5	8.0	2.5	Virginica
10.3	6.2	5.4	3.7	Versicolor
11.0	3.0	7.2	4.0	Virginica
9.3	7.6	1.6	1.2	Setosa
5.4	6.6	2.0	0.1	Setosa
6.7	4.7	6.5	3.0	Versicolor
9.0	7.7	5.9	0.2	Setosa
9.0	5.4	6.1	1.9	Setosa
6.9	7.2	5.8	1.9	Virginica
5.6	6.4	2.9	0.3	Setosa
8.2	4.8	6.2	3.8	Setosa
10.6	5.0	6.6	4.9	Versicolor
10.5	7.3	6.6	1.5	Versicolor
6.8	6.8	6.3	3.4	Versicolor
10.3	8.0	1.7	0.7	Setosa
6.7	6.4	1.5	1.9	Setosa
9.4	8.3	10.4	4.5	Virginica
7.2	5.9	7.9	6.3	Virginica
9.2	3.4	4.7	3.3	Versicolor
5.7	4.3	6.0	4.3	Versicolor
7.9	6.1	7.4	5.5	Versicolor
6.5	3.0	8.0	4.8	Versicolor
7.7	5.1	8.4	2.4	Versicolor
7.4	3.9	4.7	3.9	Setosa
9.9	4.4	1.5	3.4	Setosa
12.1	4.0	7.1	5.1	Virginica
9.6	7.8	3.7	3.0	Setosa
6.5	4.8	6.8	5.0	Versicolor
8.7	6.6	8.1	7.0	Virginica
7.8	5.2	9.6	6.4	Virginica
9.1	5.2	1.4	4.7	Setosa
6.2	3.2	5.4	4.4	Versicolor
7.3	7.1	5.5	4.7	Versicolor
8.5	6.9	5.0	4.0	Versicolor
11.3	3.7	7.4	2.8	Virginica
9.0	4.0	2.6	1.2	Setosa
7.2	5.3	5.7	3.5	Virginica
8.6	4.5	4.9	4.2	Setosa
9.4	6.1	9.4	3.6	Virginica
7.2	5.9	4.4	1.2	Setosa
5.4	3.4	6.3	5.0	Versicolor
5.9	7.2	1.3	1.7	Setosa
10.8	7.2	7.4	5.8	Virginica
10.8	5.4	6.3	4.3	Virginica
9.7	7.1	6.7	4.0	Versicolor
10.4	7.2	6.3	4.8	Versicolor
8.7	6.5	7.1	4.3	Virginica
