petal.length	variety
4.1	Setosa
7.7	Virginica
5.9	Virginica
1.4	Setosa
5.6	Versicolor
5.5	Versicolor
3.6	Setosa
7.5	Virginica
5.0	Setosa
5.8	Versicolor
4.7	Versicolor
4.6	Setosa
7.6	Virginica
8.0	Virginica
5.4	Setosa
5.0	Versicolor
4.0	Setosa
7.9	Versicolor
6.4	Virginica
2.3	Setosa
7.5	Versicolor
5.5	Setosa
11.1	Virginica
5.7	Setosa
9.8	Virginica
9.8	Virginica
2.5	Setosa
7.4	Versicolor
4.8	Versicolor
6.5	Versicolor
4.8	Setosa
8.1	Virginica
8.9	Virginica
2.4	Setosa
5.5	Versicolor
4.7	Versicolor
8.6	Versicolor
4.0	Setosa
5.5	Setosa
7.7	Virginica
7.5	Versicolor
1.8	Setosa
4.9	Versicolor
4.2	Setosa
8.2	Versicolor
2.1	Setosa
7.4	Virginica
7.3	Versicolor
7.6	Virginica
7.5	Versicolor
6.8	Versicolor
9.0	Virginica
6.1	Virginica
6.1	Virginica
9.7	Virginica
9.1	Virginica
5.6	Versicolor
2.4	Setosa
6.1	Setosa
7.1	Virginica
9.2	Versicolor
6.2	Setosa
6.1	Setosa
7.9	Virginica
4.3	Setosa
5.2	Virginica
6.3	Virginica
2.4	Setosa
10.5	Virginica
1.5	Setosa
9.4	Virginica
6.8	Versicolor
5.0	Versicolor
5.3	Virginica
1.4	Setosa
5.8	Setosa
2.4	Setosa
9.0	Versicolor
9.2	Versicolor
3.8	Setosa
4.2	Setosa
6.1	Virginica
3.5	Versicolor
5.0	Virginica
7.7	Versicolor
8.2	Virginica
3.4	Setosa
5.3	Virginica
5.0	Setosa
5.5	Virginica
9.6	Virginica
7.4	Versicolor
8.5	Versicolor
2.4	Setosa
8.0	Versicolor
4.9	Versicolor
3.5	Setosa
5.4	Versicolor
4.2	Setosa
6.6	Virginica
8.1	Virginica
6.3	Virginica
8.1	Virginica
7.4	Virginica
5.8	Virginica
