petal.width	variety
2.8	Virginica
1.3	Versicolor
4.7	Setosa
3.6	Virginica
2.2	Setosa
1.7	Setosa
4.8	Versicolor
1.5	Versicolor
1.3	Versicolor
2.9	Setosa
0.2	Setosa
5.8	Virginica
5.5	Versicolor
5.0	Versicolor
1.3	Versicolor
2.5	Versicolor
3.5	Versicolor
5.3	Versicolor
2.7	Setosa
5.4	Virginica
4.0	Versicolor
5.9	Versicolor
4.8	Versicolor
2.9	Virginica
0.2	Setosa
0.4	Setosa
4.2	Setosa
1.7	Versicolor
3.3	Setosa
5.1	Versicolor
1.8	Virginica
3.8	Virginica
1.8	Virginica
3.5	Virginica
2.3	Versicolor
3.7	Virginica
5.3	Versicolor
4.0	Virginica
4.0	Virginica
4.7	Virginica
2.3	Virginica
2.9	Virginica
2.0	Versicolor
4.8	Virginica
3.7	Setosa
4.2	Setosa
4.3	Virginica
4.2	Setosa
3.0	Virginica
0.9	Setosa
1.9	Versicolor
4.8	Setosa
3.2	Versicolor
5.3	Versicolor
2.7	Setosa
2.6	Virginica
4.8	Setosa
5.6	Versicolor
1.4	Setosa
3.5	Versicolor
2.0	Virginica
4.3	Versicolor
0.7	Setosa
0.6	Setosa
6.1	Virginica
1.9	Virginica
2.6	Setosa
2.4	Setosa
3.9	Virginica
1.4	Versicolor
3.7	Setosa
2.0	Virginica
4.8	Virginica
2.8	Setosa
2.9	Virginica
4.2	Setosa
1.7	Setosa
4.0	Virginica
3.4	Virginica
3.3	Setosa
5.5	Versicolor
1.7	Setosa
6.7	Virginica
1.9	Versicolor
1.9	Setosa
3.4	Versicolor
3.9	Versicolor
5.8	Virginica
1.3	Versicolor
4.0	Virginica
2.6	Virginica
3.2	Setosa
0.2	Setosa
2.1	Versicolor
2.4	Virginica
3.1	Versicolor
2.1	Virginica
5.3	Virginica
0.3	Setosa
1.2	Setosa
3.4	Versicolor
3.3	Virginica
1.0	Versicolor
4.4	Setosa
3.6	Virginica
