sepal.width	petal.length	petal.width	variety
3.4	3.7	5.0	Versicolor
5.8	5.6	3.2	Setosa
4.8	8.7	5.6	Virginica
4.9	7.8	6.3	Virginica
5.4	4.4	3.7	Setosa
5.9	4.7	1.7	Setosa
7.3	6.2	4.5	Virginica
4.5	5.9	2.1	Setosa
5.5	5.0	1.7	Virginica
3.8	5.9	3.5	Virginica
4.3	3.5	0.3	Setosa
5.6	4.0	0.7	Setosa
6.9	4.1	0.9	Setosa
4.8	4.5	5.8	Versicolor
6.7	6.0	5.0	Versicolor
5.8	8.4	3.8	Versicolor
4.2	7.6	3.4	Virginica
4.8	9.2	2.7	Versicolor
2.7	7.9	2.2	Versicolor
5.2	5.0	3.0	Virginica
3.4	5.0	0.7	Setosa
3.0	6.8	3.8	Virginica
4.7	5.4	1.8	Virginica
5.9	4.3	5.8	Versicolor
7.0	5.9	3.3	Setosa
7.2	5.8	3.8	Versicolor
5.4	2.0	4.9	Setosa
7.9	6.4	6.3	Virginica
5.0	6.7	3.7	Versicolor
6.7	8.1	4.0	Virginica
4.1	2.6	4.7	Setosa
7.2	3.0	0.4	Setosa
3.0	5.9	2.4	Versicolor
6.1	9.2	3.0	Versicolor
4.9	8.3	1.8	Versicolor
7.2	5.2	4.9	Versicolor
4.9	8.6	1.8	Versicolor
5.3	6.1	5.9	Virginica
7.6	6.0	3.7	Setosa
3.9	10.1	2.8	Virginica
7.5	2.1	3.6	Setosa
6.2	4.3	3.7	Setosa
2.7	7.5	4.5	Versicolor
5.6	5.0	1.2	Versicolor
6.5	5.4	6.3	Virginica
5.0	7.6	6.3	Virginica
7.0	1.6	0.6	Setosa
4.7	8.6	1.5	Versicolor
3.0	7.0	5.0	Versicolor
3.3	4.8	3.3	Setosa
4.5	8.6	2.6	Virginica
6.9	2.4	1.8	Setosa
5.7	4.9	0.2	Setosa
5.0	9.5	4.0	Virginica
3.6	3.0	1.1	Setosa
7.5	4.9	3.7	Setosa
3.8	4.2	0.8	Setosa
7.4	2.5	4.2	Setosa
7.2	4.7	1.3	Versicolor
5.3	3.9	4.2	Setosa
5.8	10.1	6.7	Virginica
2.8	7.3	1.5	Versicolor
4.8	9.2	3.0	Virginica
7.5	6.0	3.7	Setosa
7.3	9.0	4.5	Virginica
3.1	7.5	3.3	Virginica
6.6	7.9	6.1	Virginica
8.1	2.0	0.6	Setosa
5.1	2.5	1.2	Setosa
6.5	3.2	2.7	Setosa
3.9	4.5	2.1	Versicolor
2.8	8.0	2.3	Versicolor
4.8	7.1	2.3	Versicolor
5.5	1.8	1.8	Setosa
4.4	6.5	4.5	Versicolor
6.5	7.5	6.6	Virginica
2.9	4.3	1.0	Versicolor
3.8	1.9	3.9	Setosa
3.5	3.1	2.7	Setosa
4.8	6.6	5.4	Virginica
5.1	6.4	2.2	Versicolor
7.2	5.3	3.3	Virginica
3.7	4.5	5.5	Versicolor
7.7	6.9	5.3	Virginica
5.5	7.3	2.8	Virginica
6.1	6.9	1.4	Versicolor
8.0	5.8	2.7	Setosa
6.8	11.2	5.7	Virginica
5.1	10.6	7.0	Virginica
6.0	6.0	5.4	Virginica
3.8	7.4	6.5	Virginica
4.3	9.6	6.0	Virginica
3.4	8.3	2.6	Versicolor
5.4	5.7	1.3	Versicolor
6.0	8.5	1.3	Versicolor
5.2	8.5	5.8	Virginica
5.1	4.5	1.0	Versicolor
3.3	7.7	4.6	Versicolor
4.2	5.5	3.2	Setosa
6.1	9.4	3.8	Virginica
6.0	9.7	2.8	Virginica
5.7	6.8	1.9	Virginica
5.2	1.6	2.7	Setosa
3.3	2.7	2.5	Setosa
5.7	5.4	1.7	Setosa
