petal.width	variety
5.8	Virginica
0.9	Setosa
2.7	Versicolor
3.5	Versicolor
2.6	Setosa
2.4	Setosa
3.3	Versicolor
2.5	Versicolor
3.5	Virginica
5.8	Virginica
1.7	Setosa
2.4	Setosa
4.5	Versicolor
1.2	Setosa
5.1	Versicolor
6.7	Virginica
3.5	Versicolor
2.6	Setosa
2.2	Setosa
3.6	Virginica
2.3	Virginica
3.9	Versicolor
2.4	Virginica
3.7	Setosa
1.8	Virginica
2.6	Versicolor
3.8	Virginica
3.1	Setosa
2.0	Virginica
5.5	Versicolor
2.8	Versicolor
3.9	Virginica
3.7	Virginica
1.4	Versicolor
0.3	Setosa
3.2	Versicolor
1.7	Setosa
0.7	Setosa
3.0	Virginica
5.3	Virginica
5.8	Virginica
3.3	Versicolor
5.4	Versicolor
5.4	Virginica
2.2	Setosa
3.5	Versicolor
5.5	Versicolor
4.0	Versicolor
4.1	Virginica
5.5	Virginica
7.0	Virginica
6.5	Virginica
2.6	Versicolor
6.1	Virginica
1.3	Setosa
4.3	Virginica
2.2	Setosa
4.7	Setosa
3.6	Setosa
6.3	Virginica
3.1	Virginica
1.3	Versicolor
3.5	Versicolor
4.0	Setosa
2.8	Versicolor
1.3	Setosa
4.1	Virginica
1.5	Versicolor
4.3	Versicolor
1.4	Setosa
3.3	Virginica
2.4	Virginica
4.9	Setosa
3.2	Setosa
0.8	Setosa
2.3	Versicolor
2.6	Virginica
3.5	Versicolor
4.8	Versicolor
5.9	Versicolor
4.2	Setosa
4.2	Setosa
6.5	Virginica
0.2	Setosa
2.8	Versicolor
2.4	Virginica
3.3	Virginica
2.5	Virginica
2.8	Virginica
3.0	Versicolor
3.3	Virginica
6.0	Virginica
3.7	Setosa
4.4	Virginica
5.3	Virginica
0.8	Setosa
5.9	Virginica
5.3	Versicolor
1.8	Setosa
1.7	Setosa
3.2	Setosa
1.3	Versicolor
0.2	Setosa
3.7	Virginica
3.7	Versicolor
