petal.length	variety
8.3	Virginica
4.5	Setosa
6.3	Versicolor
4.9	Setosa
6.4	Setosa
8.0	Versicolor
6.5	Virginica
5.4	Setosa
8.1	Virginica
5.6	Virginica
4.2	Setosa
9.9	Virginica
5.0	Versicolor
5.9	Virginica
7.3	Versicolor
8.6	Virginica
8.0	Versicolor
8.7	Versicolor
5.0	Setosa
6.2	Setosa
3.9	Setosa
2.5	Setosa
5.9	Setosa
5.5	Versicolor
7.3	Versicolor
7.3	Virginica
4.9	Setosa
5.9	Versicolor
6.9	Virginica
5.9	Setosa
7.5	Versicolor
5.0	Setosa
9.9	Virginica
6.7	Virginica
5.5	Virginica
4.1	Versicolor
5.9	Virginica
6.0	Virginica
5.0	Versicolor
8.6	Virginica
5.0	Versicolor
5.8	Setosa
11.2	Virginica
7.0	Versicolor
6.3	Virginica
6.2	Setosa
5.6	Setosa
8.2	Virginica
8.4	Versicolor
6.7	Virginica
1.6	Setosa
10.0	Virginica
6.1	Virginica
5.5	Versicolor
5.7	Versicolor
6.3	Versicolor
4.6	Setosa
4.5	Setosa
2.4	Setosa
7.5	Versicolor
7.1	Virginica
8.3	Versicolor
9.7	Virginica
7.5	Virginica
5.3	Setosa
8.1	Versicolor
6.0	Setosa
7.6	Virginica
4.7	Setosa
7.2	Versicolor
5.3	Versicolor
3.8	Setosa
7.0	Versicolor
6.0	Versicolor
7.4	Virginica
8.1	Versicolor
1.2	Setosa
9.1	Virginica
8.8	Virginica
8.9	Versicolor
4.4	Versicolor
1.5	Setosa
6.3	Virginica
7.1	Versicolor
1.9	Setosa
6.5	Virginica
5.0	Setosa
5.3	Setosa
9.7	Virginica
1.3	Setosa
2.9	Setosa
8.6	Versicolor
4.6	Setosa
8.4	Versicolor
5.2	Setosa
9.2	Versicolor
2.6	Setosa
7.5	Virginica
6.1	Virginica
2.1	Setosa
2.9	Setosa
5.5	Setosa
5.7	Versicolor
4.0	Setosa
8.4	Versicolor
