petal.width	variety
2.3	Versicolor
3.8	Versicolor
3.5	Virginica
4.7	Versicolor
0.2	Setosa
1.6	Virginica
1.8	Versicolor
5.6	Versicolor
2.3	Virginica
4.7	Versicolor
2.7	Setosa
0.7	Setosa
1.8	Virginica
1.7	Setosa
5.0	Versicolor
4.2	Setosa
3.8	Setosa
1.9	Virginica
5.3	Virginica
3.0	Versicolor
1.1	Setosa
3.3	Virginica
4.6	Setosa
4.5	Versicolor
4.1	Setosa
3.3	Versicolor
2.4	Virginica
4.3	Versicolor
4.6	Virginica
4.8	Versicolor
5.3	Virginica
3.4	Virginica
4.0	Virginica
3.8	Versicolor
2.0	Virginica
1.1	Versicolor
5.5	Virginica
2.7	Versicolor
3.9	Virginica
3.9	Versicolor
1.2	Versicolor
4.3	Virginica
3.7	Virginica
4.8	Setosa
2.3	Versicolor
4.2	Setosa
2.3	Virginica
5.3	Virginica
3.0	Versicolor
1.8	Virginica
4.8	Virginica
2.6	Versicolor
1.7	Setosa
5.3	Versicolor
2.7	Setosa
4.2	Setosa
0.2	Setosa
0.2	Setosa
4.8	Versicolor
1.0	Setosa
2.1	Virginica
3.9	Versicolor
2.2	Setosa
3.9	Versicolor
2.1	Setosa
1.9	Setosa
3.3	Virginica
5.5	Virginica
2.8	Setosa
2.9	Virginica
3.9	Setosa
5.5	Versicolor
2.9	Versicolor
2.3	Versicolor
4.9	Setosa
3.5	Virginica
3.9	Versicolor
1.9	Virginica
2.8	Virginica
4.5	Versicolor
6.2	Virginica
3.8	Setosa
1.7	Versicolor
3.7	Setosa
6.4	Virginica
0.7	Setosa
1.5	Versicolor
2.2	Versicolor
3.6	Versicolor
1.5	Versicolor
1.4	Versicolor
2.6	Versicolor
1.9	Setosa
4.4	Versicolor
5.1	Versicolor
4.2	Setosa
4.6	Virginica
5.5	Virginica
0.7	Setosa
4.0	Virginica
0.2	Setosa
5.0	Versicolor
2.2	Setosa
4.0	Versicolor
2.8	Virginica
