sepal.width	variety
8.3	Setosa
5.0	Versicolor
3.4	Setosa
3.1	Setosa
3.8	Virginica
3.6	Setosa
5.5	Virginica
6.4	Setosa
7.2	Versicolor
5.8	Setosa
3.0	Versicolor
4.7	Virginica
5.1	Versicolor
3.5	Versicolor
7.4	Setosa
4.8	Versicolor
5.0	Virginica
6.7	Versicolor
6.3	Setosa
6.7	Virginica
5.2	Versicolor
5.0	Setosa
4.0	Setosa
7.0	Setosa
5.3	Virginica
5.5	Versicolor
3.4	Setosa
3.2	Versicolor
4.0	Virginica
4.2	Setosa
4.1	Virginica
5.9	Versicolor
5.3	Virginica
6.8	Virginica
6.2	Setosa
5.3	Virginica
7.3	Versicolor
6.9	Setosa
6.3	Setosa
5.9	Virginica
4.3	Versicolor
6.3	Versicolor
6.8	Virginica
3.4	Versicolor
6.2	Versicolor
5.2	Virginica
5.9	Setosa
5.2	Setosa
6.7	Versicolor
3.6	Versicolor
7.5	Setosa
4.8	Virginica
3.7	Virginica
3.5	Versicolor
5.5	Setosa
7.1	Versicolor
4.6	Setosa
6.1	Virginica
4.6	Setosa
4.5	Virginica
2.7	Virginica
4.1	Versicolor
6.9	Versicolor
3.0	Virginica
4.9	Virginica
6.9	Virginica
7.5	Virginica
3.7	Virginica
7.7	Setosa
4.6	Virginica
2.8	Versicolor
4.2	Virginica
6.4	Setosa
4.0	Versicolor
7.5	Versicolor
5.2	Versicolor
5.2	Setosa
3.1	Versicolor
3.5	Setosa
6.1	Setosa
2.7	Versicolor
3.0	Versicolor
6.4	Setosa
4.5	Setosa
3.3	Versicolor
4.3	Setosa
5.8	Versicolor
7.3	Virginica
3.5	Virginica
4.6	Versicolor
4.7	Setosa
6.1	Virginica
4.9	Virginica
5.3	Virginica
6.0	Setosa
7.2	Virginica
5.3	Virginica
3.5	Setosa
6.5	Setosa
5.9	Versicolor
7.0	Virginica
7.2	Setosa
5.9	Setosa
8.1	Setosa
6.3	Versicolor
