sepal.width	petal.length	variety
7.6	8.6	Virginica
3.0	5.9	Setosa
4.9	7.7	Versicolor
2.7	7.6	Versicolor
7.2	2.0	Setosa
7.5	1.4	Setosa
6.6	10.6	Virginica
3.5	10.6	Virginica
7.0	2.6	Setosa
4.4	3.2	Setosa
6.4	10.1	Virginica
4.4	8.3	Virginica
5.9	4.2	Versicolor
3.4	7.1	Virginica
4.3	1.8	Setosa
4.9	5.6	Setosa
3.8	7.9	Versicolor
3.7	10.2	Virginica
3.9	5.4	Setosa
3.4	6.0	Versicolor
2.4	3.7	Versicolor
7.9	2.6	Setosa
7.5	6.7	Versicolor
4.7	9.1	Virginica
5.5	1.6	Setosa
4.2	4.5	Versicolor
6.3	6.1	Virginica
7.7	3.4	Setosa
6.5	6.3	Virginica
3.1	4.0	Setosa
4.8	4.2	Setosa
4.8	5.6	Setosa
5.2	2.8	Setosa
5.1	4.9	Setosa
6.7	5.5	Versicolor
3.5	4.1	Versicolor
7.0	3.0	Versicolor
5.5	6.2	Virginica
4.5	8.6	Virginica
3.9	7.4	Virginica
6.5	4.9	Versicolor
6.4	1.8	Setosa
4.2	8.3	Virginica
4.3	8.5	Versicolor
5.3	7.8	Versicolor
6.3	8.2	Versicolor
6.0	8.4	Versicolor
6.7	4.7	Versicolor
5.0	5.0	Virginica
7.7	5.8	Setosa
8.1	2.5	Setosa
6.9	4.6	Versicolor
3.5	5.3	Setosa
3.2	3.9	Versicolor
7.9	4.4	Setosa
5.0	1.9	Setosa
6.1	10.4	Virginica
4.3	4.6	Versicolor
5.0	4.7	Setosa
5.6	4.4	Versicolor
6.8	6.0	Versicolor
4.0	9.5	Virginica
4.8	8.6	Versicolor
5.0	6.3	Virginica
6.3	8.1	Virginica
4.5	5.9	Versicolor
7.0	3.9	Setosa
5.9	2.5	Setosa
5.1	5.7	Versicolor
6.7	5.5	Setosa
6.4	7.3	Versicolor
3.6	6.0	Virginica
7.2	6.6	Versicolor
4.7	5.5	Versicolor
4.4	6.3	Versicolor
5.0	5.8	Setosa
6.0	6.5	Versicolor
6.5	5.1	Setosa
3.2	3.1	Setosa
5.3	6.1	Virginica
5.0	8.5	Virginica
6.0	7.1	Virginica
2.8	7.3	Versicolor
6.3	10.9	Virginica
5.5	6.0	Versicolor
5.8	4.7	Setosa
6.2	6.6	Virginica
2.6	5.5	Versicolor
7.7	6.6	Virginica
7.8	5.4	Setosa
3.8	7.6	Virginica
3.0	6.2	Virginica
7.0	9.4	Virginica
7.4	7.0	Versicolor
3.9	5.0	Setosa
3.1	3.6	Setosa
7.7	5.3	Versicolor
6.0	6.5	Versicolor
4.2	2.9	Setosa
3.3	5.7	Virginica
7.5	1.3	Setosa
3.9	1.9	Setosa
3.3	7.3	Virginica
5.1	5.4	Versicolor
6.0	6.0	Versicolor
