sepal.width	variety
3.3	Versicolor
5.5	Setosa
6.7	Setosa
6.5	Virginica
6.4	Setosa
7.3	Virginica
8.9	Setosa
7.4	Setosa
5.8	Versicolor
4.2	Setosa
3.9	Versicolor
3.4	Virginica
7.3	Versicolor
2.9	Versicolor
5.5	Virginica
3.0	Versicolor
6.5	Setosa
3.9	Virginica
7.0	Setosa
6.2	Setosa
4.4	Setosa
6.6	Versicolor
6.1	Setosa
6.1	Setosa
6.4	Versicolor
6.8	Virginica
7.6	Setosa
7.1	Virginica
6.8	Setosa
3.1	Virginica
7.1	Versicolor
7.6	Virginica
6.5	Setosa
4.0	Virginica
6.5	Virginica
5.2	Virginica
5.0	Virginica
2.7	Versicolor
7.2	Setosa
4.3	Setosa
2.8	Virginica
7.0	Versicolor
4.3	Virginica
2.7	Versicolor
8.3	Setosa
6.5	Versicolor
6.6	Versicolor
5.9	Versicolor
3.0	Virginica
5.0	Setosa
5.5	Setosa
6.6	Setosa
6.3	Virginica
7.1	Virginica
6.7	Setosa
6.8	Virginica
5.8	Versicolor
5.3	Versicolor
5.5	Versicolor
6.1	Setosa
5.5	Virginica
7.4	Setosa
3.4	Setosa
5.1	Setosa
4.5	Setosa
5.2	Versicolor
7.0	Versicolor
5.8	Virginica
6.5	Virginica
7.5	Versicolor
2.7	Versicolor
6.0	Virginica
3.1	Versicolor
5.0	Setosa
4.7	Setosa
6.5	Virginica
4.4	Versicolor
3.8	Virginica
5.7	Virginica
6.4	Virginica
5.0	Virginica
3.7	Virginica
4.3	Virginica
4.5	Virginica
6.9	Setosa
2.7	Versicolor
7.0	Virginica
2.5	Versicolor
6.0	Versicolor
5.9	Versicolor
4.3	Virginica
4.2	Versicolor
6.2	Virginica
3.0	Versicolor
6.8	Setosa
6.0	Setosa
5.3	Versicolor
4.1	Setosa
6.3	Versicolor
5.1	Versicolor
5.3	Versicolor
2.7	Virginica
5.5	Versicolor
3.4	Versicolor
5.4	Setosa
