petal.length	variety
8.3	Virginica
5.9	Versicolor
7.5	Versicolor
5.7	Setosa
5.9	Virginica
5.5	Setosa
3.9	Setosa
7.0	Virginica
10.2	Virginica
6.6	Versicolor
6.5	Virginica
5.2	Virginica
6.3	Versicolor
1.4	Setosa
5.1	Versicolor
5.5	Versicolor
1.6	Setosa
4.7	Versicolor
3.8	Setosa
2.1	Setosa
5.0	Versicolor
3.4	Setosa
9.4	Virginica
6.4	Versicolor
8.4	Virginica
6.0	Versicolor
5.0	Setosa
4.5	Setosa
4.5	Versicolor
6.6	Virginica
8.0	Versicolor
8.5	Versicolor
6.3	Versicolor
6.9	Virginica
10.1	Virginica
6.0	Virginica
6.1	Versicolor
9.1	Virginica
8.2	Versicolor
3.5	Setosa
1.1	Setosa
2.4	Setosa
8.4	Versicolor
9.8	Virginica
7.0	Versicolor
5.3	Setosa
9.2	Virginica
3.0	Setosa
4.1	Versicolor
6.4	Versicolor
6.1	Setosa
5.8	Versicolor
2.8	Setosa
6.5	Versicolor
3.9	Setosa
7.7	Versicolor
9.2	Versicolor
7.7	Virginica
9.7	Virginica
2.9	Setosa
6.0	Versicolor
10.1	Virginica
7.8	Versicolor
5.0	Versicolor
9.6	Virginica
5.6	Versicolor
9.9	Virginica
2.8	Setosa
6.5	Versicolor
4.9	Setosa
7.4	Virginica
8.4	Versicolor
1.7	Setosa
5.5	Virginica
1.3	Setosa
5.1	Versicolor
5.5	Setosa
2.7	Setosa
4.6	Setosa
7.7	Virginica
8.0	Versicolor
7.7	Virginica
10.1	Virginica
6.3	Versicolor
8.2	Versicolor
6.1	Versicolor
8.3	Virginica
6.6	Virginica
9.1	Virginica
5.0	Setosa
4.5	Setosa
8.3	Virginica
4.9	Virginica
5.2	Versicolor
5.4	Setosa
5.3	Versicolor
5.4	Setosa
1.9	Setosa
9.1	Virginica
10.6	Virginica
3.5	Setosa
8.5	Virginica
6.6	Virginica
9.2	Versicolor
2.5	Setosa
