sepal.length	variety
7.1	Setosa
8.3	Virginica
6.7	Virginica
6.6	Setosa
7.7	Versicolor
11.3	Virginica
5.4	Setosa
7.6	Versicolor
9.2	Versicolor
11.2	Virginica
8.5	Versicolor
8.9	Virginica
8.1	Versicolor
9.2	Setosa
4.9	Versicolor
6.9	Setosa
6.6	Versicolor
6.2	Setosa
5.9	Versicolor
6.7	Virginica
8.2	Versicolor
7.3	Virginica
7.5	Setosa
9.8	Versicolor
8.9	Setosa
4.8	Setosa
4.3	Setosa
9.5	Versicolor
5.9	Setosa
10.7	Virginica
7.0	Versicolor
10.8	Versicolor
9.2	Versicolor
11.7	Virginica
9.7	Virginica
8.0	Setosa
9.7	Virginica
5.1	Setosa
7.1	Versicolor
8.4	Versicolor
6.7	Versicolor
9.9	Virginica
5.9	Setosa
8.0	Setosa
7.7	Versicolor
9.3	Setosa
9.4	Virginica
6.1	Setosa
9.0	Virginica
6.0	Versicolor
7.4	Setosa
9.0	Setosa
8.7	Versicolor
10.9	Versicolor
7.8	Setosa
6.1	Setosa
6.9	Virginica
9.1	Virginica
8.9	Virginica
9.1	Setosa
4.6	Setosa
8.9	Versicolor
8.8	Setosa
9.3	Versicolor
11.7	Virginica
8.1	Setosa
7.6	Setosa
4.9	Setosa
6.8	Versicolor
7.0	Setosa
6.9	Setosa
6.2	Setosa
6.0	Setosa
9.4	Virginica
5.5	Setosa
8.5	Versicolor
8.2	Versicolor
6.5	Setosa
8.3	Virginica
8.5	Versicolor
9.1	Virginica
10.8	Virginica
5.3	Setosa
6.5	Versicolor
7.5	Versicolor
5.9	Setosa
5.5	Setosa
8.6	Versicolor
6.4	Setosa
10.2	Virginica
7.3	Versicolor
8.9	Virginica
6.1	Setosa
9.1	Versicolor
10.7	Virginica
9.2	Virginica
11.9	Virginica
8.7	Virginica
6.3	Virginica
5.4	Setosa
8.3	Virginica
9.4	Setosa
8.3	Virginica
8.4	Virginica
9.4	Virginica
