sepal.length	sepal.width	variety
10.3	5.0	Versicolor
6.8	3.5	Virginica
10.1	6.0	Versicolor
7.9	3.4	Versicolor
6.7	3.6	Versicolor
9.2	2.2	Versicolor
10.4	7.2	Virginica
7.7	6.4	Setosa
6.1	7.4	Versicolor
9.0	3.7	Versicolor
9.6	4.0	Setosa
7.3	7.0	Setosa
4.9	5.1	Setosa
8.7	5.4	Setosa
11.4	5.8	Virginica
10.0	5.9	Versicolor
8.8	6.7	Setosa
8.3	7.2	Virginica
9.4	3.5	Setosa
9.1	6.3	Versicolor
5.2	6.2	Setosa
10.4	4.7	Virginica
6.9	5.5	Versicolor
9.7	5.3	Virginica
8.5	5.4	Versicolor
9.9	4.7	Virginica
10.9	6.2	Versicolor
5.0	5.5	Versicolor
7.2	5.9	Versicolor
4.8	3.9	Setosa
9.8	4.5	Virginica
6.9	3.8	Virginica
9.0	3.8	Versicolor
5.5	4.7	Setosa
8.3	4.6	Setosa
9.3	6.8	Virginica
9.7	6.2	Versicolor
10.2	6.0	Virginica
10.9	4.1	Virginica
8.6	3.6	Setosa
11.8	3.9	Virginica
9.6	7.3	Setosa
7.6	8.2	Setosa
7.7	5.5	Virginica
8.7	5.3	Virginica
9.1	4.7	Setosa
9.2	5.6	Versicolor
7.7	6.3	Versicolor
10.6	5.4	Versicolor
7.4	3.6	Virginica
12.2	5.8	Virginica
5.4	3.4	Setosa
8.5	3.3	Versicolor
7.6	6.8	Setosa
5.1	7.4	Setosa
8.5	7.7	Virginica
6.3	5.6	Versicolor
9.1	6.0	Virginica
8.0	7.1	Versicolor
8.1	4.0	Virginica
5.6	7.3	Virginica
8.5	5.4	Setosa
5.3	5.4	Setosa
6.2	3.8	Setosa
11.3	5.2	Virginica
7.7	6.9	Versicolor
7.5	7.7	Versicolor
5.7	3.5	Setosa
5.5	3.6	Setosa
6.5	6.9	Versicolor
7.9	6.2	Setosa
8.6	2.8	Versicolor
9.1	6.5	Versicolor
8.7	4.9	Virginica
9.2	4.8	Virginica
6.1	5.6	Setosa
7.2	4.0	Virginica
8.5	4.5	Setosa
6.0	5.7	Versicolor
9.0	7.4	Setosa
6.9	5.2	Setosa
8.3	5.5	Setosa
9.4	7.9	Setosa
6.0	2.2	Virginica
9.2	3.3	Versicolor
8.5	5.0	Setosa
6.4	4.1	Setosa
6.9	3.5	Setosa
10.1	3.5	Versicolor
9.3	3.9	Virginica
9.1	7.5	Versicolor
11.2	6.5	Versicolor
6.5	6.8	Setosa
8.9	3.1	Versicolor
10.1	7.5	Virginica
8.7	4.0	Virginica
8.5	5.9	Versicolor
10.7	5.6	Versicolor
8.6	6.4	Versicolor
8.9	3.1	Virginica
8.8	6.7	Virginica
10.0	4.0	Virginica
10.2	4.5	Versicolor
6.1	5.3	Setosa
5.2	5.6	Setosa
