sepal.width	variety
6.9	Versicolor
5.0	Virginica
3.5	Setosa
4.8	Setosa
3.2	Versicolor
7.8	Versicolor
7.6	Virginica
4.8	Versicolor
5.2	Virginica
4.9	Setosa
5.5	Virginica
6.6	Setosa
4.2	Virginica
4.0	Versicolor
4.9	Setosa
5.4	Versicolor
6.8	Virginica
7.7	Virginica
8.2	Setosa
4.9	Setosa
5.2	Setosa
4.7	Setosa
7.3	Setosa
6.1	Versicolor
3.5	Virginica
3.4	Setosa
2.6	Virginica
5.3	Versicolor
7.3	Setosa
3.0	Virginica
6.5	Virginica
5.8	Setosa
6.0	Setosa
5.6	Setosa
6.2	Setosa
6.5	Virginica
6.4	Versicolor
4.0	Virginica
4.2	Virginica
4.7	Virginica
3.2	Versicolor
3.7	Virginica
3.5	Virginica
5.5	Virginica
6.8	Versicolor
4.9	Versicolor
2.8	Virginica
7.4	Versicolor
4.8	Versicolor
4.9	Setosa
7.9	Setosa
3.9	Versicolor
5.3	Virginica
7.1	Virginica
6.5	Versicolor
3.3	Setosa
4.8	Setosa
6.6	Versicolor
4.8	Virginica
5.3	Versicolor
5.1	Virginica
3.9	Setosa
3.1	Virginica
5.2	Versicolor
6.6	Versicolor
6.5	Virginica
8.4	Setosa
7.3	Setosa
6.2	Setosa
7.3	Virginica
2.5	Versicolor
6.7	Virginica
3.9	Virginica
3.7	Setosa
7.5	Virginica
6.3	Virginica
5.0	Virginica
5.6	Setosa
7.2	Virginica
5.3	Virginica
7.0	Virginica
5.4	Virginica
5.9	Setosa
7.4	Versicolor
7.0	Versicolor
4.2	Setosa
5.2	Setosa
6.8	Virginica
6.0	Setosa
6.0	Versicolor
7.3	Virginica
3.7	Virginica
6.6	Setosa
3.8	Virginica
6.4	Versicolor
6.1	Versicolor
6.3	Virginica
5.0	Versicolor
6.7	Versicolor
5.5	Setosa
5.0	Setosa
4.8	Versicolor
4.2	Versicolor
6.0	Virginica
3.4	Setosa
