sepal.width	variety
5.5	Setosa
7.2	Versicolor
4.3	Virginica
6.9	Setosa
7.5	Setosa
7.4	Setosa
5.3	Versicolor
7.4	Versicolor
7.6	Virginica
7.8	Virginica
7.0	Setosa
7.6	Virginica
5.1	Virginica
5.3	Virginica
3.5	Setosa
6.8	Virginica
3.0	Versicolor
2.7	Virginica
7.7	Virginica
3.8	Virginica
4.6	Versicolor
7.6	Virginica
4.4	Setosa
6.4	Setosa
7.4	Versicolor
5.5	Versicolor
7.9	Setosa
6.3	Virginica
7.8	Setosa
7.2	Versicolor
7.2	Versicolor
5.7	Versicolor
7.1	Setosa
3.0	Virginica
7.7	Virginica
6.5	Virginica
7.5	Setosa
7.4	Versicolor
8.0	Setosa
4.6	Setosa
5.5	Virginica
3.8	Setosa
5.4	Versicolor
8.4	Setosa
5.8	Versicolor
6.8	Setosa
8.1	Setosa
7.6	Versicolor
5.2	Virginica
4.8	Setosa
5.3	Virginica
6.9	Setosa
4.1	Setosa
3.5	Virginica
4.5	Virginica
3.6	Setosa
5.5	Setosa
3.7	Setosa
8.3	Virginica
5.3	Setosa
5.5	Versicolor
4.7	Virginica
7.7	Virginica
4.5	Versicolor
6.6	Versicolor
3.3	Versicolor
4.3	Virginica
2.3	Versicolor
5.5	Virginica
7.2	Setosa
6.7	Versicolor
7.0	Versicolor
6.0	Virginica
5.4	Versicolor
4.7	Setosa
4.0	Setosa
6.5	Versicolor
7.5	Versicolor
6.9	Versicolor
2.9	Versicolor
7.0	Versicolor
4.2	Setosa
7.2	Versicolor
3.2	Versicolor
7.0	Virginica
3.0	Versicolor
3.9	Versicolor
3.5	Versicolor
7.0	Setosa
4.4	Setosa
4.4	Versicolor
5.6	Setosa
4.7	Virginica
3.0	Virginica
6.8	Versicolor
7.7	Setosa
3.6	Virginica
7.5	Setosa
6.8	Virginica
6.6	Virginica
6.4	Setosa
2.8	Virginica
5.3	Setosa
4.4	Virginica
5.1	Versicolor
