petal.length	variety
7.4	Versicolor
4.5	Versicolor
9.6	Virginica
4.5	Setosa
2.6	Setosa
9.8	Virginica
7.5	Virginica
5.5	Versicolor
1.3	Setosa
8.2	Virginica
9.1	Versicolor
2.9	Setosa
9.2	Virginica
7.0	Versicolor
4.2	Setosa
2.5	Setosa
5.7	Versicolor
8.4	Versicolor
9.0	Virginica
8.5	Virginica
7.9	Virginica
8.7	Versicolor
8.6	Versicolor
7.9	Virginica
5.0	Virginica
1.5	Setosa
2.4	Setosa
2.5	Setosa
4.0	Setosa
7.6	Virginica
5.4	Versicolor
7.4	Versicolor
8.1	Virginica
8.3	Virginica
1.7	Setosa
2.2	Setosa
6.0	Setosa
5.1	Versicolor
6.1	Virginica
4.2	Setosa
6.7	Virginica
7.0	Versicolor
8.5	Virginica
7.2	Virginica
2.7	Setosa
6.8	Versicolor
2.4	Setosa
10.9	Virginica
8.1	Virginica
7.3	Versicolor
5.6	Setosa
4.4	Setosa
3.9	Versicolor
5.3	Versicolor
3.5	Setosa
7.3	Virginica
11.2	Virginica
5.5	Versicolor
7.0	Versicolor
5.3	Setosa
3.6	Setosa
4.1	Setosa
7.7	Versicolor
1.3	Setosa
5.8	Virginica
2.6	Setosa
9.7	Virginica
7.5	Versicolor
3.9	Setosa
4.7	Setosa
7.2	Versicolor
7.9	Versicolor
7.0	Versicolor
3.4	Setosa
4.7	Versicolor
7.1	Virginica
9.0	Virginica
3.5	Setosa
3.6	Versicolor
8.6	Virginica
8.5	Virginica
8.3	Virginica
5.6	Setosa
7.4	Virginica
3.8	Versicolor
2.3	Setosa
4.5	Versicolor
9.0	Versicolor
4.9	Setosa
8.6	Virginica
4.6	Versicolor
4.0	Setosa
8.7	Versicolor
8.0	Virginica
5.4	Setosa
3.0	Setosa
3.4	Setosa
4.4	Setosa
8.4	Versicolor
8.0	Versicolor
7.8	Versicolor
4.5	Setosa
7.8	Virginica
4.1	Versicolor
9.1	Virginica
