sepal.width	petal.length	variety
6.2	6.0	Virginica
6.9	1.7	Setosa
5.7	5.5	Versicolor
4.9	7.3	Virginica
2.5	6.5	Virginica
4.2	5.6	Virginica
5.9	8.5	Versicolor
6.0	8.9	Versicolor
4.8	3.1	Setosa
7.2	5.4	Versicolor
7.2	3.2	Setosa
6.5	7.7	Versicolor
6.3	6.5	Versicolor
3.0	10.3	Virginica
6.2	9.2	Virginica
7.2	5.4	Setosa
3.2	6.9	Virginica
3.9	8.3	Versicolor
3.8	5.6	Versicolor
5.6	2.5	Setosa
6.2	6.3	Virginica
5.6	5.0	Setosa
5.5	9.5	Virginica
5.1	8.0	Versicolor
3.6	9.0	Virginica
7.3	4.8	Virginica
4.1	4.4	Setosa
6.8	1.3	Setosa
2.5	9.0	Virginica
2.9	5.8	Versicolor
7.2	5.5	Setosa
3.4	4.6	Setosa
2.7	7.6	Versicolor
3.2	4.2	Versicolor
3.9	9.6	Virginica
7.6	1.5	Setosa
6.4	9.6	Virginica
3.5	10.6	Virginica
4.4	7.1	Versicolor
7.0	5.4	Setosa
6.0	3.6	Setosa
3.3	6.2	Versicolor
5.1	3.5	Setosa
4.9	6.1	Setosa
2.8	5.0	Versicolor
7.0	9.0	Virginica
6.4	1.7	Setosa
4.8	8.6	Virginica
7.5	4.6	Setosa
3.5	1.8	Setosa
4.3	5.6	Virginica
3.3	5.3	Versicolor
7.5	4.4	Setosa
4.5	8.0	Versicolor
5.5	4.9	Versicolor
6.5	6.6	Versicolor
5.8	3.9	Setosa
5.9	4.5	Setosa
7.3	6.4	Virginica
3.9	7.7	Versicolor
6.5	8.3	Virginica
4.0	6.9	Virginica
5.7	10.5	Virginica
3.5	2.5	Setosa
7.0	3.9	Versicolor
6.8	6.6	Virginica
5.3	3.5	Setosa
3.8	7.0	Versicolor
6.0	9.0	Versicolor
5.0	7.0	Versicolor
4.8	6.2	Virginica
4.9	4.7	Versicolor
6.2	9.4	Virginica
8.0	3.7	Setosa
5.4	8.2	Versicolor
7.2	5.3	Virginica
5.4	6.0	Setosa
6.5	5.8	Setosa
4.1	8.6	Virginica
5.4	3.5	Setosa
5.8	6.2	Setosa
4.4	4.9	Setosa
4.0	5.1	Virginica
7.4	3.8	Setosa
8.1	1.9	Setosa
7.0	5.5	Versicolor
7.0	4.2	Versicolor
4.3	4.9	Virginica
7.5	5.6	Versicolor
7.7	5.0	Setosa
4.9	3.9	Setosa
3.1	7.4	Versicolor
5.5	2.4	Setosa
7.6	8.9	Versicolor
5.5	4.4	Setosa
6.5	9.3	Virginica
5.1	7.4	Versicolor
6.2	5.8	Setosa
5.5	4.5	Versicolor
6.1	4.5	Setosa
5.2	7.0	Versicolor
5.7	4.8	Setosa
7.0	5.5	Versicolor
4.3	5.6	Virginica
6.8	8.2	Virginica
