petal.length	variety
5.8	Setosa
2.6	Setosa
5.5	Setosa
2.5	Setosa
5.8	Virginica
7.4	Versicolor
4.5	Setosa
8.5	Virginica
7.7	Versicolor
6.6	Virginica
8.4	Virginica
6.1	Virginica
9.1	Virginica
6.2	Setosa
9.8	Virginica
1.5	Setosa
7.5	Versicolor
1.4	Setosa
8.8	Versicolor
2.9	Setosa
2.9	Setosa
9.5	Versicolor
8.6	Virginica
9.1	Versicolor
9.1	Virginica
4.5	Versicolor
4.1	Setosa
9.4	Virginica
8.4	Virginica
6.1	Virginica
5.1	Versicolor
1.6	Setosa
7.9	Virginica
9.1	Virginica
7.9	Virginica
6.4	Versicolor
5.2	Virginica
5.5	Versicolor
4.3	Versicolor
6.2	Versicolor
6.4	Versicolor
7.9	Versicolor
6.7	Versicolor
3.7	Versicolor
8.4	Versicolor
2.5	Setosa
4.5	Versicolor
7.5	Virginica
2.6	Setosa
5.5	Setosa
1.9	Setosa
6.0	Versicolor
8.5	Versicolor
4.9	Setosa
4.7	Versicolor
8.1	Virginica
8.3	Versicolor
7.2	Virginica
4.1	Versicolor
7.7	Virginica
6.0	Virginica
10.6	Virginica
4.3	Setosa
1.4	Setosa
2.5	Setosa
4.7	Setosa
6.5	Virginica
2.8	Setosa
2.9	Setosa
2.0	Setosa
1.9	Setosa
1.9	Setosa
4.1	Setosa
2.5	Setosa
2.2	Setosa
10.9	Virginica
2.9	Setosa
5.3	Versicolor
1.3	Setosa
6.5	Versicolor
8.9	Virginica
5.9	Virginica
6.3	Versicolor
8.3	Virginica
6.2	Versicolor
8.1	Virginica
7.2	Virginica
8.7	Versicolor
7.7	Virginica
4.3	Setosa
9.0	Versicolor
6.0	Versicolor
4.3	Versicolor
9.1	Virginica
5.4	Setosa
3.9	Versicolor
1.2	Setosa
8.4	Virginica
7.5	Virginica
8.1	Versicolor
8.9	Versicolor
2.0	Setosa
7.5	Virginica
7.1	Versicolor
9.1	Virginica
