petal.width	variety
2.8	Virginica
5.9	Virginica
2.1	Versicolor
4.4	Setosa
4.9	Virginica
4.0	Virginica
4.0	Versicolor
3.2	Versicolor
1.0	Versicolor
2.0	Versicolor
3.7	Versicolor
3.2	Virginica
0.8	Setosa
2.2	Setosa
4.6	Virginica
2.4	Setosa
2.1	Versicolor
2.8	Virginica
3.2	Setosa
0.4	Setosa
2.8	Virginica
4.4	Virginica
1.5	Versicolor
2.6	Versicolor
1.4	Setosa
4.3	Setosa
4.2	Setosa
2.9	Versicolor
6.1	Virginica
4.7	Setosa
6.8	Virginica
0.8	Setosa
4.9	Virginica
4.2	Setosa
4.9	Virginica
1.6	Setosa
3.0	Virginica
3.6	Setosa
6.3	Virginica
0.1	Setosa
5.0	Versicolor
2.2	Setosa
6.3	Virginica
1.7	Setosa
6.7	Virginica
2.7	Setosa
6.2	Virginica
4.4	Virginica
4.2	Setosa
1.8	Setosa
2.2	Setosa
4.2	Versicolor
4.8	Versicolor
2.2	Setosa
4.8	Virginica
5.4	Virginica
3.2	Setosa
6.5	Virginica
1.6	Versicolor
1.3	Setosa
0.7	Setosa
4.6	Virginica
5.0	Versicolor
2.3	Virginica
6.8	Virginica
4.2	Setosa
4.5	Virginica
5.2	Versicolor
5.8	Versicolor
2.8	Versicolor
5.8	Virginica
6.0	Versicolor
1.8	Versicolor
3.0	Versicolor
1.1	Setosa
4.8	Setosa
3.0	Versicolor
1.8	Virginica
4.2	Setosa
2.7	Setosa
2.5	Virginica
4.8	Versicolor
4.3	Versicolor
5.5	Virginica
1.7	Setosa
2.8	Virginica
4.3	Virginica
3.9	Versicolor
2.0	Versicolor
4.4	Virginica
1.8	Virginica
1.6	Versicolor
3.2	Setosa
6.0	Virginica
2.4	Versicolor
2.7	Setosa
2.6	Setosa
5.3	Versicolor
2.8	Virginica
2.1	Virginica
2.5	Versicolor
2.3	Virginica
0.9	Setosa
1.7	Setosa
3.3	Virginica
