sepal.length	sepal.width	variety
9.4	3.7	Versicolor
7.6	8.3	Setosa
7.8	4.3	Virginica
5.1	4.2	Setosa
6.7	6.6	Versicolor
8.2	5.4	Versicolor
7.1	5.6	Virginica
8.2	2.8	Virginica
10.6	7.0	Virginica
6.9	3.2	Virginica
8.8	3.7	Virginica
8.4	5.0	Versicolor
9.6	4.3	Versicolor
6.5	5.5	Setosa
10.3	5.7	Virginica
7.7	6.6	Virginica
6.2	7.0	Setosa
7.9	2.8	Virginica
8.6	4.5	Setosa
5.5	6.4	Setosa
8.3	4.6	Setosa
4.3	7.5	Setosa
7.5	3.0	Virginica
9.7	5.7	Virginica
9.9	5.4	Setosa
11.3	2.9	Virginica
7.1	5.7	Setosa
7.8	5.7	Virginica
8.5	7.0	Setosa
8.2	7.7	Setosa
5.8	3.8	Virginica
9.3	3.5	Virginica
7.0	6.9	Versicolor
7.9	3.7	Setosa
7.0	6.3	Setosa
10.7	3.1	Versicolor
5.5	7.0	Setosa
10.2	3.5	Versicolor
9.2	7.3	Setosa
8.6	4.4	Versicolor
7.2	6.0	Versicolor
6.0	6.4	Versicolor
10.2	5.7	Versicolor
5.1	4.3	Setosa
9.6	4.0	Virginica
7.7	6.6	Virginica
8.6	2.8	Versicolor
10.2	5.1	Virginica
8.2	6.5	Virginica
6.0	4.0	Versicolor
7.3	3.4	Setosa
9.8	7.0	Versicolor
7.3	5.0	Setosa
6.1	5.1	Setosa
7.4	5.1	Setosa
11.2	4.8	Virginica
10.8	5.5	Virginica
6.2	5.0	Virginica
10.5	7.0	Virginica
6.7	6.7	Versicolor
10.0	5.7	Virginica
8.7	6.3	Versicolor
9.8	4.7	Setosa
6.6	5.0	Versicolor
6.4	5.5	Versicolor
8.9	6.5	Virginica
6.9	4.1	Virginica
10.4	4.2	Versicolor
6.7	7.6	Setosa
5.4	6.0	Virginica
6.8	4.8	Versicolor
10.0	7.4	Versicolor
8.4	5.9	Versicolor
8.9	8.4	Setosa
6.0	4.3	Setosa
10.5	2.7	Virginica
9.9	6.3	Virginica
8.9	6.6	Versicolor
7.1	3.0	Versicolor
6.8	7.2	Versicolor
6.2	7.1	Versicolor
9.1	4.4	Setosa
9.4	7.6	Virginica
10.8	3.4	Virginica
7.9	7.2	Virginica
6.0	6.4	Setosa
7.4	7.1	Setosa
6.4	3.4	Versicolor
8.5	6.6	Setosa
8.4	7.4	Setosa
10.0	3.7	Versicolor
10.0	6.0	Virginica
11.2	3.5	Virginica
8.0	4.5	Virginica
7.1	5.5	Virginica
5.1	3.3	Setosa
8.1	6.1	Setosa
7.3	4.2	Virginica
10.3	8.0	Setosa
7.0	4.4	Versicolor
7.1	5.7	Versicolor
8.1	4.5	Versicolor
6.5	3.8	Versicolor
5.4	4.4	Setosa
8.6	6.5	Setosa
