sepal.width	variety
4.2	Versicolor
7.9	Setosa
2.8	Versicolor
5.6	Versicolor
4.6	Virginica
4.9	Virginica
5.3	Setosa
4.9	Setosa
5.2	Setosa
6.4	Versicolor
6.8	Setosa
3.5	Setosa
2.8	Virginica
4.0	Virginica
6.3	Virginica
6.0	Setosa
4.5	Setosa
7.2	Virginica
6.3	Setosa
7.9	Setosa
6.0	Versicolor
7.6	Setosa
3.5	Virginica
7.4	Setosa
2.7	Virginica
6.5	Virginica
4.4	Versicolor
7.2	Setosa
5.9	Setosa
4.7	Versicolor
5.4	Setosa
2.4	Versicolor
7.6	Setosa
6.2	Virginica
2.7	Virginica
6.5	Versicolor
6.5	Versicolor
2.7	Versicolor
3.8	Virginica
3.5	Setosa
2.7	Versicolor
6.8	Setosa
7.6	Virginica
4.0	Virginica
6.3	Virginica
7.7	Versicolor
3.7	Versicolor
5.3	Versicolor
7.0	Setosa
5.5	Virginica
6.3	Versicolor
2.8	Versicolor
4.7	Virginica
3.0	Versicolor
6.7	Setosa
4.5	Setosa
4.9	Setosa
4.6	Setosa
6.3	Setosa
6.9	Versicolor
3.8	Virginica
4.0	Versicolor
6.4	Setosa
5.1	Virginica
5.1	Setosa
4.1	Versicolor
6.7	Setosa
4.3	Versicolor
3.2	Virginica
7.3	Versicolor
7.0	Virginica
5.6	Versicolor
6.8	Setosa
7.6	Setosa
5.8	Versicolor
3.0	Versicolor
5.8	Virginica
6.9	Versicolor
5.0	Versicolor
7.2	Versicolor
7.6	Setosa
5.1	Virginica
7.2	Virginica
4.9	Virginica
6.4	Versicolor
6.4	Versicolor
5.0	Setosa
5.7	Setosa
7.0	Setosa
3.2	Virginica
4.1	Setosa
6.2	Setosa
3.5	Virginica
5.3	Virginica
6.5	Versicolor
2.8	Virginica
3.5	Virginica
5.5	Versicolor
5.6	Virginica
4.7	Setosa
6.0	Setosa
5.4	Virginica
8.1	Setosa
3.3	Virginica
5.0	Virginica
