petal.width	variety
4.8	Virginica
2.4	Versicolor
3.2	Setosa
1.3	Setosa
1.6	Versicolor
3.7	Versicolor
3.7	Setosa
7.0	Virginica
1.9	Virginica
2.5	Versicolor
2.4	Setosa
1.2	Setosa
3.9	Setosa
3.5	Virginica
3.8	Virginica
0.7	Setosa
3.0	Versicolor
3.4	Versicolor
4.7	Setosa
5.9	Versicolor
4.0	Versicolor
2.2	Setosa
2.8	Virginica
6.9	Virginica
2.8	Virginica
0.2	Setosa
1.0	Versicolor
3.9	Setosa
4.1	Setosa
3.7	Setosa
3.0	Versicolor
1.5	Versicolor
1.3	Setosa
0.7	Setosa
2.2	Versicolor
4.5	Virginica
3.6	Setosa
6.0	Versicolor
1.3	Versicolor
4.2	Setosa
1.8	Virginica
3.8	Virginica
1.6	Versicolor
6.1	Virginica
4.7	Setosa
4.8	Virginica
5.7	Versicolor
3.8	Versicolor
6.7	Virginica
1.9	Setosa
3.5	Versicolor
4.7	Setosa
5.0	Versicolor
5.5	Versicolor
5.0	Versicolor
7.0	Virginica
2.3	Setosa
2.6	Virginica
3.2	Setosa
2.0	Virginica
5.8	Versicolor
4.1	Setosa
2.7	Setosa
2.1	Virginica
5.9	Virginica
0.1	Setosa
0.2	Setosa
5.3	Versicolor
1.3	Versicolor
1.8	Setosa
4.5	Virginica
4.8	Versicolor
2.3	Versicolor
4.7	Setosa
4.8	Virginica
2.0	Versicolor
1.3	Versicolor
2.4	Setosa
4.0	Virginica
3.0	Versicolor
4.3	Setosa
2.7	Setosa
5.3	Virginica
1.8	Virginica
2.4	Setosa
1.7	Setosa
2.2	Setosa
6.3	Virginica
6.3	Virginica
6.1	Virginica
5.3	Versicolor
3.4	Virginica
3.8	Versicolor
5.3	Versicolor
0.2	Setosa
5.8	Virginica
5.5	Versicolor
4.3	Setosa
2.2	Setosa
3.2	Versicolor
1.6	Versicolor
3.9	Virginica
3.8	Virginica
1.2	Versicolor
5.9	Versicolor
