petal.width	variety
4.5	Virginica
3.5	Versicolor
5.8	Versicolor
4.2	Setosa
2.2	Setosa
4.9	Setosa
5.0	Versicolor
3.3	Versicolor
4.4	Versicolor
0.2	Setosa
1.4	Versicolor
3.4	Virginica
4.0	Versicolor
6.1	Virginica
4.9	Virginica
3.7	Setosa
4.0	Virginica
0.9	Setosa
4.9	Setosa
4.8	Versicolor
3.7	Setosa
1.9	Setosa
1.8	Versicolor
3.8	Virginica
2.3	Virginica
4.5	Versicolor
2.9	Virginica
2.5	Virginica
2.3	Virginica
4.5	Versicolor
2.1	Versicolor
0.3	Setosa
1.5	Versicolor
4.2	Setosa
3.0	Versicolor
4.3	Setosa
6.6	Virginica
4.6	Virginica
2.2	Versicolor
4.8	Virginica
5.3	Virginica
3.8	Virginica
3.3	Virginica
5.0	Versicolor
3.1	Setosa
3.7	Versicolor
5.5	Versicolor
4.7	Setosa
3.3	Versicolor
5.3	Versicolor
3.1	Versicolor
4.6	Versicolor
4.0	Versicolor
2.9	Setosa
2.8	Setosa
4.5	Versicolor
1.6	Versicolor
4.4	Virginica
5.9	Virginica
3.3	Virginica
2.1	Virginica
5.3	Virginica
5.3	Versicolor
2.8	Versicolor
2.7	Setosa
4.4	Versicolor
1.9	Virginica
3.1	Setosa
2.1	Virginica
4.8	Setosa
5.8	Virginica
1.7	Setosa
6.3	Versicolor
6.2	Virginica
5.8	Virginica
2.5	Virginica
4.7	Setosa
3.5	Virginica
3.2	Virginica
1.8	Versicolor
3.2	Setosa
2.7	Versicolor
6.5	Virginica
2.3	Setosa
5.1	Versicolor
5.4	Virginica
4.0	Versicolor
5.8	Virginica
3.9	Versicolor
2.5	Setosa
2.1	Versicolor
2.7	Setosa
3.4	Virginica
2.0	Virginica
2.3	Virginica
5.1	Virginica
4.3	Setosa
5.0	Versicolor
0.6	Setosa
1.7	Setosa
6.5	Virginica
2.1	Virginica
6.3	Virginica
4.2	Setosa
3.0	Versicolor
