sepal.length	sepal.width	variety
6.8	4.4	Setosa
9.4	6.0	Versicolor
7.6	3.4	Setosa
8.9	4.5	Virginica
7.8	3.0	Setosa
9.9	5.6	Virginica
10.7	6.5	Virginica
8.0	4.6	Versicolor
8.6	4.9	Setosa
6.6	8.0	Setosa
9.0	6.5	Virginica
6.7	4.8	Virginica
6.4	4.8	Virginica
7.5	4.0	Virginica
8.7	2.7	Versicolor
8.8	4.6	Versicolor
6.7	6.1	Versicolor
10.3	2.7	Virginica
9.1	4.3	Versicolor
10.3	4.3	Virginica
7.7	3.2	Setosa
6.4	5.4	Setosa
10.9	5.1	Versicolor
9.3	5.3	Versicolor
9.8	4.8	Versicolor
10.1	7.5	Versicolor
10.2	5.8	Virginica
6.9	4.7	Versicolor
8.8	5.9	Virginica
8.4	7.3	Virginica
6.4	4.6	Setosa
9.6	7.0	Virginica
8.8	6.0	Virginica
7.4	4.6	Setosa
9.0	3.6	Setosa
8.7	6.5	Virginica
10.0	3.4	Versicolor
7.4	7.1	Setosa
6.2	3.4	Virginica
8.1	3.1	Setosa
5.0	7.4	Setosa
10.1	7.5	Versicolor
6.4	3.7	Versicolor
9.6	4.8	Versicolor
10.9	6.2	Virginica
9.2	4.7	Setosa
7.7	2.8	Versicolor
8.7	3.5	Setosa
9.9	7.3	Virginica
9.3	3.7	Versicolor
5.0	3.8	Setosa
7.4	6.1	Virginica
8.9	3.7	Virginica
6.3	6.5	Versicolor
6.5	6.7	Setosa
9.5	4.8	Versicolor
7.7	2.6	Versicolor
6.9	5.0	Setosa
9.1	4.1	Setosa
10.0	3.2	Versicolor
8.6	4.5	Versicolor
8.4	6.4	Setosa
10.1	7.0	Versicolor
8.0	5.9	Versicolor
9.6	2.8	Virginica
5.9	6.4	Setosa
8.0	6.5	Versicolor
9.2	6.7	Versicolor
10.0	4.7	Versicolor
5.1	5.2	Setosa
8.3	5.2	Versicolor
7.3	5.5	Setosa
7.1	5.6	Virginica
10.2	5.5	Versicolor
7.5	4.3	Versicolor
8.8	6.0	Setosa
10.3	5.4	Virginica
7.5	6.8	Setosa
5.0	2.8	Versicolor
10.6	4.0	Virginica
7.3	6.3	Virginica
5.9	7.5	Versicolor
10.6	4.4	Versicolor
8.8	5.3	Virginica
6.6	6.3	Setosa
5.6	6.7	Versicolor
10.4	6.8	Virginica
7.2	4.8	Setosa
10.7	5.1	Virginica
9.0	3.7	Virginica
6.2	8.4	Setosa
5.7	5.1	Setosa
10.6	6.9	Versicolor
5.6	4.7	Setosa
6.9	3.4	Setosa
8.7	4.5	Virginica
5.8	5.1	Setosa
9.3	6.9	Virginica
9.6	6.9	Versicolor
9.2	2.9	Versicolor
7.3	6.5	Setosa
9.0	5.0	Setosa
6.5	4.0	Setosa
5.9	7.7	Setosa
7.2	4.8	Virginica
