sepal.width	petal.length	variety
4.5	1.4	Setosa
6.2	1.5	Setosa
6.0	7.6	Virginica
5.9	5.0	Versicolor
5.2	9.5	Virginica
5.9	3.2	Setosa
7.5	1.9	Setosa
4.9	7.3	Versicolor
5.2	8.9	Virginica
3.5	4.4	Versicolor
2.8	8.1	Virginica
7.4	7.0	Versicolor
6.8	2.7	Setosa
3.6	1.5	Setosa
5.7	1.3	Setosa
6.6	6.4	Virginica
5.2	9.5	Virginica
4.5	9.0	Virginica
5.5	4.7	Setosa
5.0	6.8	Virginica
3.9	6.8	Versicolor
4.8	10.9	Virginica
6.6	5.0	Setosa
5.2	7.9	Virginica
5.7	5.6	Setosa
3.0	9.3	Virginica
5.8	7.5	Versicolor
7.0	4.1	Setosa
4.2	4.2	Versicolor
5.6	9.0	Virginica
3.3	7.8	Virginica
7.3	5.8	Versicolor
3.2	4.2	Setosa
7.5	7.9	Virginica
6.1	9.1	Virginica
6.4	4.0	Setosa
4.0	7.7	Virginica
3.0	7.5	Virginica
5.1	6.1	Virginica
7.5	1.6	Setosa
4.5	5.1	Setosa
3.9	1.7	Setosa
4.6	4.6	Setosa
3.3	4.7	Versicolor
5.8	2.0	Setosa
6.6	6.7	Versicolor
3.5	9.0	Virginica
4.9	5.6	Virginica
3.9	6.2	Versicolor
7.1	9.1	Virginica
7.8	4.9	Setosa
5.0	3.5	Versicolor
4.8	6.4	Virginica
7.5	3.3	Setosa
5.3	5.1	Virginica
5.1	7.5	Versicolor
7.4	7.7	Versicolor
4.2	6.0	Versicolor
6.9	3.3	Setosa
5.5	5.4	Versicolor
7.0	5.5	Versicolor
5.4	4.8	Versicolor
7.4	2.6	Setosa
6.1	3.0	Setosa
7.3	9.5	Virginica
7.0	6.7	Virginica
5.6	6.4	Versicolor
5.5	4.0	Setosa
7.9	4.9	Setosa
4.8	10.7	Virginica
4.0	5.4	Setosa
6.7	7.8	Virginica
7.4	6.1	Versicolor
6.8	9.2	Virginica
5.6	2.5	Setosa
4.5	2.8	Setosa
4.7	8.1	Virginica
6.0	4.9	Versicolor
2.0	5.5	Versicolor
5.2	7.6	Versicolor
7.8	6.7	Virginica
2.7	7.9	Versicolor
5.1	3.5	Setosa
6.8	4.4	Setosa
5.2	5.0	Versicolor
6.0	8.0	Versicolor
6.4	5.6	Virginica
5.2	5.0	Setosa
4.4	3.6	Setosa
5.5	7.6	Virginica
5.5	5.1	Versicolor
4.9	4.4	Setosa
6.1	7.1	Virginica
6.8	6.8	Versicolor
5.2	6.8	Virginica
5.6	7.9	Versicolor
3.0	9.0	Virginica
5.0	6.3	Virginica
3.0	9.3	Virginica
3.8	2.1	Setosa
5.2	4.4	Versicolor
6.7	4.4	Setosa
5.8	8.1	Versicolor
7.5	5.7	Versicolor
4.2	5.0	Versicolor
