petal.length	petal.width	variety
1.7	3.2	Setosa
7.3	4.3	Versicolor
4.7	0.5	Setosa
7.9	4.9	Versicolor
2.3	2.8	Setosa
8.0	1.0	Versicolor
5.7	2.7	Versicolor
6.1	4.2	Setosa
1.5	1.7	Setosa
5.4	4.8	Versicolor
6.0	3.0	Versicolor
9.7	7.0	Virginica
8.4	3.3	Virginica
9.7	3.6	Virginica
8.0	5.6	Virginica
4.7	0.3	Setosa
7.1	6.3	Virginica
2.4	3.2	Setosa
6.2	3.3	Versicolor
7.1	1.3	Versicolor
4.6	2.6	Setosa
4.9	2.4	Versicolor
7.1	2.5	Virginica
6.4	1.2	Setosa
6.6	2.2	Virginica
5.7	5.9	Versicolor
6.2	4.8	Virginica
8.6	5.5	Virginica
9.6	3.6	Virginica
7.7	5.5	Versicolor
3.9	4.6	Setosa
4.8	5.1	Versicolor
6.0	3.2	Setosa
8.2	4.4	Versicolor
7.3	4.0	Versicolor
3.4	0.2	Setosa
5.4	4.1	Setosa
2.9	4.7	Setosa
6.5	2.5	Versicolor
8.1	3.5	Versicolor
7.2	2.6	Versicolor
7.2	5.5	Versicolor
7.4	5.3	Virginica
5.5	1.3	Versicolor
7.6	2.3	Virginica
8.8	6.1	Virginica
4.9	6.0	Virginica
7.8	3.8	Versicolor
7.0	3.3	Virginica
4.0	4.7	Setosa
2.1	2.7	Setosa
8.9	3.0	Virginica
1.9	3.2	Setosa
1.4	3.2	Setosa
6.0	4.7	Setosa
6.9	5.5	Versicolor
9.6	4.4	Virginica
8.5	3.0	Virginica
9.0	6.0	Virginica
5.6	1.8	Versicolor
2.8	3.7	Setosa
8.0	6.5	Virginica
7.4	1.2	Versicolor
7.3	5.8	Virginica
4.9	5.9	Versicolor
6.1	2.4	Versicolor
4.0	4.1	Versicolor
5.5	6.4	Virginica
4.1	1.3	Versicolor
5.9	5.3	Virginica
6.5	2.8	Virginica
5.6	6.5	Virginica
4.5	2.6	Setosa
5.8	3.7	Setosa
10.2	3.8	Virginica
4.0	1.4	Setosa
5.9	2.6	Virginica
9.2	2.0	Virginica
8.6	3.9	Virginica
2.3	1.7	Setosa
2.9	1.4	Setosa
5.2	1.2	Versicolor
9.0	5.3	Virginica
4.8	5.8	Versicolor
9.7	2.5	Virginica
8.6	1.4	Virginica
1.9	2.2	Setosa
9.6	5.3	Virginica
2.9	3.3	Setosa
5.7	5.0	Versicolor
6.0	1.7	Versicolor
5.5	4.3	Versicolor
4.0	0.7	Setosa
6.5	1.5	Versicolor
6.6	4.8	Virginica
2.8	4.9	Setosa
6.9	5.8	Virginica
11.4	6.8	Virginica
5.3	3.2	Setosa
9.6	4.4	Virginica
6.0	0.6	Setosa
5.9	0.7	Setosa
4.0	4.9	Setosa
3.5	3.2	Setosa
10.1	2.9	Virginica
