sepal.length	variety
7.4	Versicolor
5.5	Versicolor
6.2	Setosa
9.8	Virginica
7.9	Virginica
9.2	Virginica
4.8	Setosa
8.0	Virginica
7.3	Setosa
12.2	Virginica
7.8	Setosa
8.7	Virginica
9.2	Versicolor
6.0	Versicolor
7.5	Versicolor
4.9	Setosa
10.3	Virginica
9.6	Versicolor
6.4	Setosa
9.0	Setosa
9.4	Virginica
9.7	Versicolor
7.0	Setosa
9.6	Setosa
10.7	Virginica
9.3	Virginica
8.1	Versicolor
8.7	Virginica
8.7	Virginica
9.2	Versicolor
6.0	Setosa
8.5	Virginica
9.2	Setosa
7.1	Versicolor
6.4	Virginica
9.8	Virginica
5.1	Setosa
7.1	Versicolor
10.7	Virginica
8.2	Setosa
7.7	Virginica
6.4	Setosa
6.3	Setosa
6.4	Versicolor
9.4	Versicolor
8.2	Versicolor
9.6	Setosa
7.0	Virginica
6.8	Versicolor
6.3	Setosa
7.6	Versicolor
7.2	Versicolor
8.6	Setosa
7.6	Setosa
9.3	Virginica
8.8	Virginica
7.5	Versicolor
8.3	Virginica
7.6	Versicolor
6.8	Versicolor
8.3	Virginica
9.7	Versicolor
5.6	Setosa
8.9	Versicolor
6.7	Setosa
5.7	Versicolor
9.6	Versicolor
8.5	Setosa
10.9	Virginica
6.0	Versicolor
8.7	Virginica
10.4	Virginica
9.1	Setosa
5.9	Setosa
10.7	Virginica
5.5	Versicolor
7.3	Versicolor
8.0	Setosa
4.9	Setosa
7.6	Versicolor
9.0	Versicolor
9.4	Virginica
4.9	Setosa
8.9	Virginica
11.2	Virginica
10.7	Virginica
8.6	Virginica
9.0	Setosa
7.4	Virginica
7.9	Setosa
8.4	Setosa
10.4	Virginica
9.0	Setosa
5.8	Setosa
9.6	Setosa
10.6	Virginica
9.6	Setosa
6.6	Setosa
9.0	Versicolor
7.4	Setosa
8.0	Virginica
8.7	Versicolor
9.1	Versicolor
9.2	Setosa
7.2	Versicolor
