sepal.length	variety
8.8	Virginica
10.9	Virginica
10.0	Virginica
7.2	Setosa
7.8	Virginica
9.9	Virginica
8.7	Versicolor
8.4	Virginica
4.9	Virginica
6.0	Versicolor
6.9	Setosa
7.0	Virginica
10.1	Versicolor
5.5	Versicolor
7.7	Setosa
9.7	Setosa
6.8	Virginica
8.4	Setosa
9.3	Setosa
10.2	Virginica
7.5	Setosa
6.3	Versicolor
7.9	Virginica
5.6	Virginica
5.4	Setosa
8.4	Versicolor
8.9	Virginica
8.7	Versicolor
10.8	Virginica
6.9	Setosa
8.3	Setosa
6.8	Virginica
7.8	Setosa
7.5	Setosa
5.7	Versicolor
7.9	Versicolor
6.0	Versicolor
8.2	Virginica
9.6	Versicolor
9.2	Versicolor
8.0	Versicolor
6.5	Versicolor
5.4	Versicolor
7.7	Virginica
9.9	Versicolor
6.8	Virginica
5.6	Setosa
7.7	Virginica
9.5	Setosa
7.4	Setosa
10.2	Virginica
9.4	Setosa
7.4	Virginica
7.5	Virginica
9.6	Versicolor
9.5	Versicolor
9.3	Versicolor
7.7	Virginica
11.4	Virginica
8.6	Versicolor
9.7	Versicolor
9.1	Versicolor
7.8	Virginica
6.3	Setosa
9.1	Setosa
6.5	Versicolor
9.5	Virginica
6.2	Versicolor
7.0	Versicolor
5.6	Setosa
12.2	Virginica
5.8	Setosa
7.1	Setosa
7.0	Versicolor
9.7	Virginica
5.8	Virginica
9.9	Virginica
6.4	Setosa
8.8	Versicolor
9.1	Versicolor
8.4	Setosa
8.1	Setosa
9.0	Virginica
9.9	Versicolor
10.9	Virginica
4.8	Setosa
4.9	Setosa
9.0	Setosa
9.7	Virginica
11.6	Virginica
6.8	Versicolor
6.3	Virginica
6.1	Versicolor
7.2	Versicolor
5.7	Versicolor
7.7	Versicolor
7.1	Setosa
4.9	Setosa
8.4	Virginica
6.0	Versicolor
9.3	Versicolor
9.0	Setosa
8.6	Setosa
8.2	Setosa
7.2	Virginica
