sepal.width	petal.length	variety
6.0	8.5	Versicolor
5.8	1.5	Setosa
3.5	6.9	Versicolor
4.5	3.6	Setosa
5.2	7.6	Versicolor
6.3	9.2	Virginica
3.4	8.4	Virginica
2.2	5.5	Versicolor
4.0	5.0	Setosa
3.0	4.9	Versicolor
5.1	6.2	Versicolor
3.9	2.0	Setosa
2.2	7.0	Virginica
7.5	4.4	Setosa
5.9	9.6	Virginica
6.4	4.4	Setosa
7.6	1.5	Setosa
7.4	6.0	Setosa
4.8	4.9	Setosa
6.0	7.2	Versicolor
4.4	4.1	Setosa
3.7	7.6	Virginica
5.9	5.8	Versicolor
5.0	1.9	Setosa
4.3	9.6	Virginica
7.2	9.6	Virginica
3.5	6.3	Virginica
4.9	4.2	Versicolor
7.2	5.8	Setosa
4.5	9.5	Virginica
2.6	8.0	Versicolor
6.5	8.0	Versicolor
6.1	6.4	Versicolor
5.7	4.9	Virginica
5.7	10.0	Virginica
7.9	9.0	Versicolor
5.0	4.2	Versicolor
4.8	6.4	Versicolor
4.4	5.1	Versicolor
4.0	6.5	Versicolor
6.8	6.2	Virginica
6.7	6.4	Versicolor
7.2	8.2	Versicolor
4.0	5.0	Virginica
3.7	8.5	Versicolor
4.4	5.3	Versicolor
2.6	8.4	Virginica
3.5	7.4	Virginica
6.4	3.6	Versicolor
5.0	1.9	Setosa
2.9	7.7	Versicolor
5.3	4.2	Setosa
6.3	7.6	Versicolor
6.9	2.9	Setosa
2.5	6.5	Versicolor
4.9	7.1	Virginica
5.8	5.9	Virginica
6.3	7.7	Versicolor
6.4	5.2	Setosa
5.3	8.6	Virginica
6.6	8.4	Versicolor
5.3	10.2	Virginica
3.9	2.0	Setosa
6.9	5.8	Versicolor
6.5	7.5	Versicolor
6.7	4.1	Setosa
2.8	4.0	Versicolor
6.7	8.0	Versicolor
6.0	10.1	Virginica
5.2	2.8	Setosa
6.0	9.1	Virginica
4.1	6.6	Virginica
5.2	1.5	Setosa
4.0	5.1	Setosa
6.1	10.1	Virginica
3.6	7.1	Virginica
6.8	5.3	Virginica
4.0	5.9	Setosa
4.6	2.0	Setosa
7.1	5.0	Setosa
8.3	10.4	Virginica
4.7	4.4	Setosa
5.8	9.0	Virginica
3.5	5.3	Setosa
5.2	5.8	Versicolor
5.6	4.5	Setosa
7.0	6.8	Virginica
4.1	9.4	Virginica
7.0	7.6	Virginica
5.1	6.0	Virginica
6.2	7.9	Virginica
3.5	5.5	Virginica
4.2	5.0	Setosa
7.7	7.8	Virginica
3.0	3.9	Setosa
6.8	8.6	Virginica
4.1	4.5	Versicolor
5.5	5.7	Setosa
5.2	6.8	Virginica
3.1	5.9	Versicolor
6.3	8.1	Virginica
3.6	2.5	Setosa
7.0	2.3	Setosa
5.0	10.4	Virginica
4.8	6.3	Versicolor
