petal.length	petal.width	variety
3.0	1.1	Setosa
8.1	3.4	Virginica
4.2	3.0	Setosa
5.0	3.1	Versicolor
6.6	4.9	Virginica
5.3	4.9	Virginica
5.8	5.1	Virginica
7.0	4.2	Versicolor
5.4	1.3	Versicolor
7.3	1.8	Versicolor
8.5	2.2	Virginica
10.5	5.8	Virginica
3.2	0.9	Setosa
6.6	6.3	Virginica
9.1	1.9	Versicolor
9.2	2.2	Versicolor
8.9	6.6	Virginica
9.9	6.5	Virginica
8.8	1.8	Virginica
4.7	1.7	Setosa
4.9	0.8	Setosa
7.3	2.8	Virginica
5.9	3.0	Virginica
9.0	5.3	Virginica
3.1	1.1	Setosa
1.8	1.7	Setosa
5.8	1.0	Versicolor
2.5	3.9	Setosa
6.0	2.0	Versicolor
4.2	4.5	Versicolor
6.5	1.5	Versicolor
5.0	6.5	Virginica
5.4	1.2	Versicolor
5.0	2.5	Virginica
8.1	2.9	Virginica
4.8	3.4	Versicolor
10.2	6.3	Virginica
4.0	1.7	Setosa
7.7	4.1	Virginica
5.1	5.5	Versicolor
1.9	4.7	Setosa
5.9	1.2	Setosa
6.7	3.2	Virginica
3.5	2.7	Setosa
4.0	5.3	Versicolor
6.9	4.3	Virginica
6.3	5.3	Virginica
4.5	3.2	Setosa
5.5	2.2	Setosa
2.9	4.7	Setosa
1.9	3.6	Setosa
8.9	5.5	Versicolor
5.0	3.5	Versicolor
8.1	1.5	Versicolor
10.1	5.6	Virginica
5.2	0.3	Setosa
3.8	0.7	Setosa
5.8	5.1	Versicolor
4.1	3.6	Setosa
5.9	5.9	Versicolor
5.6	5.3	Versicolor
5.1	2.3	Versicolor
5.2	5.3	Versicolor
1.2	3.2	Setosa
7.0	2.0	Versicolor
7.7	4.5	Virginica
2.5	2.6	Setosa
4.0	0.8	Setosa
11.1	2.1	Virginica
5.9	3.0	Versicolor
5.5	5.5	Versicolor
5.0	4.2	Setosa
3.1	1.9	Setosa
2.0	1.9	Setosa
5.3	1.8	Versicolor
6.0	2.7	Setosa
2.4	3.2	Setosa
7.5	5.9	Virginica
7.1	3.4	Virginica
7.5	1.8	Versicolor
8.6	3.8	Virginica
9.1	4.6	Versicolor
8.4	5.8	Virginica
5.7	4.5	Versicolor
2.9	4.9	Setosa
3.6	3.3	Versicolor
5.3	1.5	Versicolor
2.9	4.8	Setosa
6.6	3.4	Virginica
8.6	5.7	Virginica
7.2	6.5	Virginica
3.4	4.1	Setosa
7.6	3.4	Virginica
5.4	1.8	Virginica
9.0	5.5	Versicolor
6.4	5.8	Virginica
2.6	4.7	Setosa
4.4	2.1	Versicolor
7.4	5.7	Versicolor
5.1	2.5	Virginica
2.4	1.7	Setosa
4.5	5.8	Versicolor
2.8	1.4	Setosa
5.0	3.2	Setosa
7.7	3.3	Versicolor
