petal.length	petal.width	variety
9.5	7.0	Virginica
5.3	3.7	Setosa
9.7	2.6	Virginica
9.6	2.5	Virginica
6.2	2.4	Setosa
5.8	0.9	Setosa
8.4	5.0	Virginica
4.2	4.8	Versicolor
8.9	3.5	Versicolor
5.4	1.7	Setosa
7.5	2.3	Versicolor
7.3	3.8	Virginica
3.9	0.6	Setosa
4.3	3.7	Setosa
3.5	4.2	Setosa
5.0	3.4	Setosa
9.2	1.6	Versicolor
5.7	6.0	Versicolor
10.7	6.0	Virginica
7.1	4.3	Versicolor
7.3	4.8	Versicolor
1.9	3.2	Setosa
4.2	1.7	Versicolor
7.8	6.4	Virginica
6.5	1.7	Versicolor
4.6	1.8	Versicolor
8.4	5.1	Virginica
5.7	4.3	Virginica
5.5	5.0	Versicolor
9.2	4.3	Virginica
8.4	3.8	Versicolor
1.4	0.7	Setosa
8.5	3.3	Versicolor
6.9	2.3	Virginica
4.0	4.5	Versicolor
8.3	4.1	Versicolor
7.5	2.3	Versicolor
2.5	2.2	Setosa
2.4	2.7	Setosa
5.2	0.2	Setosa
6.9	5.6	Virginica
5.9	3.2	Versicolor
9.1	5.8	Virginica
6.7	5.5	Virginica
7.6	2.4	Virginica
4.5	1.7	Setosa
5.9	1.6	Versicolor
9.6	6.8	Virginica
5.9	3.0	Versicolor
5.6	5.9	Virginica
2.3	4.8	Setosa
1.0	2.7	Setosa
8.4	3.3	Virginica
5.3	0.2	Setosa
6.9	4.8	Virginica
5.6	3.2	Setosa
1.9	0.9	Setosa
4.4	0.7	Setosa
7.5	6.3	Virginica
9.6	3.4	Virginica
4.0	1.3	Versicolor
2.1	3.1	Setosa
8.7	3.5	Versicolor
8.6	2.9	Virginica
1.1	4.6	Setosa
5.7	4.4	Versicolor
5.0	4.5	Virginica
8.6	3.0	Virginica
3.5	4.7	Setosa
4.4	3.2	Setosa
6.0	2.4	Setosa
5.8	2.9	Versicolor
8.5	2.5	Versicolor
5.4	1.8	Virginica
6.5	1.6	Versicolor
4.1	3.2	Setosa
9.2	4.4	Versicolor
5.2	4.7	Setosa
4.7	1.2	Setosa
3.5	1.7	Setosa
9.3	2.8	Virginica
6.5	5.3	Virginica
3.9	1.8	Setosa
3.6	4.9	Setosa
7.4	3.4	Versicolor
4.5	4.2	Versicolor
8.5	6.0	Versicolor
3.9	4.8	Setosa
5.0	3.3	Setosa
5.1	4.0	Versicolor
5.2	4.3	Versicolor
9.0	5.3	Virginica
5.9	4.9	Versicolor
7.1	6.3	Virginica
9.5	4.6	Virginica
8.7	3.0	Virginica
4.4	3.7	Setosa
8.4	2.3	Virginica
9.4	2.5	Virginica
6.3	2.2	Virginica
4.8	1.8	Versicolor
7.6	2.7	Virginica
7.1	6.1	Virginica
8.1	1.3	Versicolor
3.0	4.9	Setosa
