sepal.width	petal.length	variety
3.9	3.7	Setosa
6.2	8.1	Versicolor
6.6	4.6	Setosa
7.2	2.0	Setosa
5.4	1.5	Setosa
2.5	8.0	Virginica
6.7	1.9	Setosa
4.0	9.8	Virginica
3.2	5.2	Versicolor
6.7	5.1	Virginica
6.1	4.5	Setosa
6.1	5.6	Virginica
6.0	6.0	Versicolor
2.4	6.7	Versicolor
6.0	5.3	Setosa
3.2	5.8	Versicolor
7.8	6.2	Virginica
4.9	4.7	Versicolor
4.0	6.0	Versicolor
3.5	2.6	Setosa
3.8	5.3	Versicolor
7.4	6.9	Virginica
6.4	4.2	Setosa
4.7	7.4	Virginica
5.8	7.5	Virginica
7.3	5.1	Virginica
6.0	6.8	Virginica
3.0	8.1	Virginica
7.5	1.3	Setosa
3.7	7.5	Versicolor
3.9	2.4	Setosa
7.3	5.8	Virginica
6.2	4.3	Setosa
6.3	8.8	Versicolor
3.6	6.5	Virginica
4.8	6.0	Versicolor
7.4	6.3	Versicolor
5.1	1.0	Setosa
5.0	9.5	Versicolor
7.4	7.7	Versicolor
3.7	7.1	Versicolor
5.8	3.2	Setosa
4.8	8.9	Virginica
4.2	5.2	Setosa
6.0	8.2	Versicolor
4.4	6.0	Setosa
5.3	10.6	Virginica
7.2	3.5	Setosa
4.2	8.0	Versicolor
5.3	9.7	Virginica
5.7	8.0	Virginica
2.8	7.1	Virginica
3.1	9.4	Versicolor
4.1	9.2	Versicolor
7.2	9.7	Virginica
6.5	6.0	Virginica
3.9	9.6	Virginica
4.1	4.5	Versicolor
7.9	5.3	Setosa
5.5	6.5	Virginica
7.1	3.0	Setosa
5.0	9.1	Virginica
2.7	7.5	Versicolor
2.2	8.5	Virginica
4.0	3.4	Setosa
5.5	6.3	Virginica
4.0	3.0	Setosa
8.0	2.6	Setosa
3.5	5.8	Setosa
4.3	6.5	Versicolor
6.1	5.9	Virginica
6.9	7.8	Versicolor
5.7	7.1	Virginica
7.9	2.6	Setosa
5.6	5.9	Versicolor
3.6	7.4	Versicolor
7.8	2.1	Setosa
5.0	5.9	Virginica
6.7	8.4	Versicolor
7.4	7.1	Versicolor
2.9	7.8	Versicolor
3.8	8.2	Virginica
6.3	4.3	Setosa
7.1	9.1	Virginica
4.5	4.0	Versicolor
4.5	9.4	Versicolor
4.8	8.6	Versicolor
7.6	3.9	Setosa
3.9	2.1	Setosa
7.3	4.9	Setosa
3.2	4.4	Versicolor
6.5	6.8	Virginica
3.9	5.0	Versicolor
7.5	6.9	Versicolor
7.4	6.0	Setosa
7.0	4.4	Setosa
3.6	4.0	Versicolor
3.4	1.4	Setosa
6.2	10.4	Virginica
8.6	5.0	Setosa
7.9	4.0	Setosa
6.8	6.9	Virginica
4.2	6.7	Versicolor
4.2	5.6	Setosa
4.5	4.7	Setosa
