petal.length	petal.width	variety
4.9	0.2	Setosa
8.5	5.7	Versicolor
6.0	3.5	Versicolor
1.9	3.8	Setosa
9.6	5.4	Virginica
9.6	2.1	Versicolor
5.1	4.4	Virginica
8.8	5.3	Versicolor
9.2	3.3	Virginica
2.0	0.6	Setosa
5.4	2.8	Setosa
8.1	5.8	Virginica
4.7	3.5	Versicolor
7.3	5.4	Versicolor
7.4	3.8	Virginica
4.6	4.3	Versicolor
3.5	1.2	Setosa
4.2	4.7	Setosa
6.5	2.2	Virginica
10.1	2.2	Virginica
2.4	2.2	Setosa
5.8	3.4	Setosa
5.3	3.3	Virginica
9.9	3.3	Virginica
7.5	1.6	Versicolor
7.4	6.6	Virginica
6.9	3.1	Versicolor
8.9	6.6	Virginica
10.5	4.0	Virginica
2.0	3.4	Setosa
8.5	1.5	Versicolor
6.0	1.2	Setosa
2.7	1.3	Setosa
8.6	2.9	Virginica
8.8	3.1	Virginica
5.9	3.7	Versicolor
8.7	3.0	Virginica
4.6	1.7	Setosa
6.8	2.3	Versicolor
4.3	1.2	Setosa
6.7	4.9	Versicolor
6.1	4.2	Setosa
10.2	7.0	Virginica
10.9	4.0	Virginica
2.5	4.7	Setosa
6.9	4.3	Virginica
6.0	1.8	Versicolor
1.8	3.2	Setosa
7.2	3.2	Virginica
4.5	1.2	Setosa
4.3	2.2	Setosa
3.5	3.4	Setosa
5.7	3.5	Setosa
11.1	6.6	Virginica
5.3	4.2	Setosa
9.6	4.4	Virginica
10.1	5.6	Virginica
1.5	1.2	Setosa
5.8	3.3	Versicolor
3.8	2.0	Versicolor
4.1	4.4	Setosa
6.6	2.5	Versicolor
5.2	5.8	Versicolor
8.6	4.8	Versicolor
4.9	0.2	Setosa
5.1	4.9	Virginica
8.6	4.0	Virginica
2.0	3.8	Setosa
8.5	2.0	Virginica
10.3	2.2	Virginica
5.8	2.1	Versicolor
10.8	3.3	Virginica
7.5	2.0	Versicolor
8.1	5.8	Virginica
8.0	2.5	Virginica
7.5	3.5	Versicolor
5.6	1.2	Setosa
7.8	3.3	Virginica
8.2	6.6	Virginica
10.0	6.3	Virginica
3.7	4.0	Versicolor
6.4	4.9	Versicolor
8.5	1.8	Virginica
9.6	3.0	Virginica
4.1	1.6	Setosa
5.5	2.1	Virginica
7.4	5.4	Versicolor
5.9	0.4	Setosa
7.1	2.3	Versicolor
3.4	1.2	Setosa
5.9	3.2	Setosa
5.4	2.8	Versicolor
5.4	3.9	Versicolor
5.6	1.0	Versicolor
4.7	3.5	Versicolor
8.2	3.3	Versicolor
1.2	1.2	Setosa
4.6	3.8	Versicolor
3.2	4.2	Setosa
3.4	1.2	Setosa
7.0	4.0	Versicolor
8.5	3.5	Versicolor
4.7	4.4	Setosa
7.4	5.3	Virginica
7.3	3.3	Virginica
