petal.length	variety
7.0	Versicolor
6.2	Virginica
6.2	Setosa
9.2	Versicolor
5.0	Setosa
5.6	Virginica
4.0	Versicolor
6.2	Versicolor
8.5	Versicolor
9.6	Virginica
4.9	Versicolor
2.1	Setosa
9.8	Virginica
9.6	Virginica
4.2	Versicolor
2.6	Setosa
3.8	Setosa
7.2	Virginica
2.2	Setosa
7.4	Virginica
6.1	Versicolor
10.8	Virginica
8.4	Versicolor
5.9	Versicolor
6.1	Setosa
8.0	Versicolor
3.1	Setosa
7.1	Versicolor
4.5	Setosa
9.3	Virginica
6.0	Versicolor
6.7	Virginica
10.1	Virginica
2.3	Setosa
10.9	Virginica
5.0	Versicolor
2.4	Setosa
8.4	Versicolor
5.4	Setosa
4.3	Versicolor
3.9	Setosa
5.7	Setosa
6.1	Virginica
2.9	Setosa
5.9	Versicolor
8.5	Virginica
7.7	Versicolor
5.0	Virginica
2.0	Setosa
5.5	Versicolor
5.5	Versicolor
5.4	Versicolor
1.4	Setosa
7.6	Versicolor
5.8	Versicolor
4.0	Versicolor
6.8	Virginica
2.9	Setosa
9.1	Virginica
5.6	Virginica
6.6	Versicolor
5.4	Setosa
4.0	Versicolor
1.7	Setosa
7.4	Virginica
6.9	Versicolor
6.7	Versicolor
5.1	Virginica
3.4	Setosa
6.2	Versicolor
10.9	Virginica
7.6	Versicolor
6.1	Virginica
2.5	Setosa
8.8	Virginica
4.6	Setosa
8.5	Virginica
6.0	Virginica
2.3	Setosa
6.5	Virginica
5.2	Versicolor
3.2	Setosa
7.5	Versicolor
7.7	Virginica
8.9	Virginica
8.0	Virginica
4.0	Setosa
7.8	Versicolor
7.0	Versicolor
5.8	Setosa
6.3	Virginica
5.9	Setosa
9.0	Versicolor
7.0	Versicolor
5.6	Setosa
6.2	Virginica
8.0	Virginica
6.2	Virginica
8.8	Versicolor
2.4	Setosa
6.8	Versicolor
6.2	Versicolor
5.7	Versicolor
5.1	Setosa
2.0	Setosa
