petal.length	variety
5.5	Versicolor
9.5	Virginica
6.0	Setosa
7.2	Virginica
7.4	Virginica
6.8	Virginica
1.7	Setosa
8.6	Virginica
3.9	Setosa
2.6	Setosa
6.7	Versicolor
6.7	Versicolor
4.0	Versicolor
8.6	Versicolor
6.9	Versicolor
4.7	Versicolor
6.8	Versicolor
5.9	Virginica
3.8	Setosa
7.0	Virginica
4.1	Setosa
10.3	Virginica
3.0	Setosa
6.0	Virginica
7.6	Virginica
7.6	Virginica
3.4	Setosa
7.9	Versicolor
8.1	Virginica
8.7	Versicolor
4.4	Setosa
3.6	Setosa
1.5	Setosa
6.4	Setosa
5.9	Virginica
6.7	Versicolor
7.5	Versicolor
7.5	Virginica
1.9	Setosa
9.3	Virginica
3.3	Setosa
6.6	Virginica
2.8	Setosa
6.9	Versicolor
3.5	Setosa
8.6	Virginica
7.3	Virginica
7.2	Virginica
3.4	Setosa
1.6	Setosa
9.1	Versicolor
6.6	Virginica
4.4	Setosa
10.0	Virginica
6.8	Versicolor
4.7	Versicolor
6.6	Versicolor
1.9	Setosa
5.0	Setosa
5.0	Setosa
6.0	Versicolor
4.8	Versicolor
5.9	Setosa
6.5	Virginica
4.5	Setosa
2.3	Setosa
8.7	Virginica
9.0	Versicolor
4.1	Setosa
6.0	Versicolor
8.4	Virginica
9.1	Virginica
6.0	Setosa
7.8	Versicolor
7.5	Versicolor
8.8	Versicolor
9.2	Virginica
6.6	Virginica
6.8	Virginica
5.3	Setosa
7.6	Versicolor
5.2	Setosa
5.9	Setosa
5.5	Versicolor
4.5	Versicolor
7.0	Versicolor
5.6	Versicolor
8.8	Virginica
5.0	Setosa
9.5	Virginica
3.0	Setosa
6.2	Virginica
6.5	Versicolor
2.0	Setosa
8.2	Versicolor
5.2	Versicolor
4.0	Setosa
6.0	Virginica
5.6	Virginica
5.5	Versicolor
7.7	Versicolor
7.6	Versicolor
6.9	Virginica
2.7	Setosa
1.4	Setosa
