sepal.width	variety
5.5	Setosa
6.2	Versicolor
3.4	Setosa
5.2	Versicolor
4.1	Versicolor
7.7	Setosa
4.1	Versicolor
3.4	Virginica
7.6	Setosa
3.2	Versicolor
3.9	Versicolor
4.2	Virginica
4.8	Virginica
5.8	Virginica
4.6	Versicolor
5.5	Versicolor
6.5	Setosa
5.5	Virginica
4.3	Virginica
4.0	Setosa
4.0	Versicolor
3.0	Versicolor
6.4	Setosa
5.3	Versicolor
5.0	Virginica
7.1	Virginica
5.3	Virginica
7.5	Setosa
4.9	Setosa
7.5	Setosa
5.0	Virginica
6.7	Virginica
3.5	Setosa
3.9	Versicolor
6.3	Setosa
4.9	Setosa
3.2	Setosa
7.5	Versicolor
7.1	Setosa
4.6	Setosa
4.3	Setosa
3.2	Versicolor
7.9	Setosa
3.3	Setosa
6.4	Versicolor
6.1	Setosa
6.0	Versicolor
7.3	Virginica
4.4	Setosa
5.2	Setosa
3.5	Virginica
7.5	Virginica
2.8	Setosa
5.3	Versicolor
4.7	Virginica
4.2	Setosa
3.4	Versicolor
5.0	Virginica
5.2	Setosa
7.5	Setosa
4.9	Versicolor
4.3	Virginica
4.6	Setosa
7.6	Virginica
3.0	Versicolor
3.0	Versicolor
2.2	Versicolor
4.1	Virginica
7.2	Versicolor
5.9	Versicolor
7.8	Virginica
5.0	Virginica
6.3	Versicolor
6.2	Virginica
5.7	Virginica
6.5	Versicolor
6.2	Versicolor
7.2	Virginica
7.9	Setosa
6.0	Virginica
6.5	Versicolor
7.9	Versicolor
4.8	Versicolor
6.1	Setosa
7.5	Setosa
4.3	Setosa
8.3	Setosa
4.6	Versicolor
5.3	Virginica
5.1	Setosa
2.5	Virginica
3.7	Setosa
7.2	Virginica
5.3	Versicolor
5.2	Versicolor
4.1	Versicolor
5.0	Virginica
7.5	Virginica
6.2	Virginica
4.3	Virginica
6.5	Virginica
5.9	Versicolor
4.1	Virginica
5.9	Virginica
7.0	Versicolor
