petal.length	variety
6.8	Versicolor
5.8	Versicolor
4.0	Setosa
7.1	Versicolor
4.5	Setosa
7.0	Virginica
7.8	Virginica
5.6	Setosa
5.8	Virginica
5.7	Versicolor
4.7	Setosa
9.6	Virginica
8.6	Virginica
7.7	Versicolor
6.7	Virginica
5.5	Versicolor
1.8	Setosa
6.4	Virginica
10.2	Virginica
9.5	Virginica
7.9	Versicolor
5.5	Setosa
5.5	Setosa
4.5	Setosa
7.7	Virginica
8.6	Versicolor
5.8	Setosa
4.5	Versicolor
3.0	Setosa
5.8	Versicolor
7.4	Virginica
9.4	Virginica
6.0	Setosa
8.0	Virginica
2.9	Setosa
8.2	Versicolor
10.2	Virginica
5.0	Setosa
7.9	Versicolor
4.0	Versicolor
6.8	Versicolor
5.6	Virginica
7.0	Versicolor
4.1	Setosa
8.0	Virginica
5.4	Versicolor
6.7	Versicolor
4.7	Setosa
5.1	Setosa
7.8	Virginica
7.5	Versicolor
6.5	Versicolor
6.4	Setosa
3.9	Setosa
7.5	Versicolor
8.1	Versicolor
6.3	Versicolor
6.9	Virginica
1.6	Setosa
1.8	Setosa
4.4	Versicolor
5.6	Setosa
8.0	Virginica
5.4	Setosa
4.9	Setosa
7.0	Versicolor
6.2	Versicolor
8.6	Virginica
6.4	Versicolor
1.7	Setosa
6.9	Virginica
5.5	Versicolor
7.2	Versicolor
1.6	Setosa
8.6	Virginica
7.1	Versicolor
9.5	Virginica
8.6	Virginica
10.9	Virginica
10.1	Virginica
10.7	Virginica
6.5	Versicolor
9.2	Virginica
2.4	Setosa
7.2	Virginica
3.5	Setosa
8.9	Virginica
4.2	Setosa
7.8	Virginica
7.5	Versicolor
6.0	Setosa
6.6	Virginica
1.4	Setosa
1.7	Setosa
6.1	Versicolor
8.4	Virginica
6.1	Versicolor
2.9	Setosa
1.4	Setosa
4.8	Setosa
6.1	Virginica
6.8	Virginica
6.3	Virginica
8.1	Versicolor
1.3	Setosa
