sepal.length	variety
7.7	Versicolor
9.3	Virginica
10.8	Virginica
9.9	Virginica
11.6	Virginica
5.0	Setosa
8.1	Setosa
6.1	Setosa
9.6	Versicolor
10.3	Virginica
5.4	Setosa
7.4	Virginica
8.7	Versicolor
7.7	Virginica
8.6	Versicolor
6.3	Virginica
9.8	Versicolor
8.1	Versicolor
5.3	Setosa
9.3	Versicolor
6.2	Virginica
10.1	Versicolor
8.2	Virginica
9.6	Versicolor
9.7	Setosa
9.1	Versicolor
11.7	Virginica
10.7	Versicolor
6.6	Versicolor
6.5	Versicolor
8.8	Virginica
8.8	Versicolor
7.2	Virginica
5.5	Versicolor
7.3	Setosa
9.9	Setosa
11.1	Virginica
6.0	Versicolor
7.6	Versicolor
9.7	Virginica
9.4	Versicolor
8.5	Virginica
11.4	Virginica
5.5	Setosa
8.7	Versicolor
8.0	Setosa
5.4	Versicolor
8.8	Virginica
10.2	Versicolor
6.1	Setosa
9.0	Versicolor
9.2	Versicolor
10.2	Versicolor
6.5	Virginica
10.3	Versicolor
6.7	Versicolor
6.3	Virginica
10.4	Versicolor
10.2	Virginica
10.5	Virginica
8.3	Virginica
9.4	Virginica
7.0	Versicolor
10.2	Setosa
8.9	Virginica
9.0	Versicolor
8.5	Versicolor
7.7	Versicolor
9.1	Versicolor
7.5	Setosa
6.6	Setosa
7.2	Setosa
6.2	Setosa
5.8	Setosa
11.5	Versicolor
8.6	Virginica
10.3	Virginica
10.2	Virginica
7.6	Setosa
8.4	Virginica
10.2	Versicolor
10.7	Virginica
9.0	Virginica
5.6	Setosa
7.0	Setosa
8.9	Versicolor
10.0	Versicolor
8.7	Setosa
9.5	Versicolor
9.4	Setosa
9.8	Versicolor
6.6	Setosa
10.0	Versicolor
5.5	Setosa
9.9	Virginica
6.5	Versicolor
6.4	Virginica
8.2	Virginica
7.1	Virginica
7.8	Virginica
6.2	Virginica
10.6	Versicolor
8.6	Setosa
7.0	Setosa
7.3	Versicolor
