sepal.width	petal.length	petal.width	variety
4.3	4.8	4.5	Versicolor
3.0	6.8	4.6	Virginica
5.6	9.5	3.3	Virginica
3.8	3.0	1.3	Setosa
7.6	5.5	2.2	Setosa
2.5	5.5	6.5	Virginica
7.2	9.1	5.4	Virginica
4.8	10.1	2.7	Virginica
2.5	5.0	5.0	Versicolor
5.6	3.5	0.1	Setosa
3.6	2.5	0.2	Setosa
5.0	3.1	1.7	Setosa
3.9	2.4	3.2	Setosa
5.2	6.0	2.0	Versicolor
7.2	7.4	5.3	Virginica
5.5	6.0	2.0	Versicolor
3.5	8.0	4.3	Versicolor
8.1	7.1	7.0	Virginica
6.3	4.5	3.3	Versicolor
4.8	6.1	5.5	Virginica
6.8	9.6	3.1	Virginica
5.4	4.5	3.2	Setosa
5.7	9.1	1.9	Virginica
2.7	5.6	2.6	Versicolor
4.8	5.8	4.8	Virginica
6.1	9.2	2.5	Versicolor
7.0	2.8	3.2	Setosa
4.6	9.1	3.4	Virginica
5.7	6.0	1.8	Virginica
5.8	5.2	2.2	Versicolor
5.7	7.1	4.5	Versicolor
3.0	7.3	6.3	Virginica
5.5	7.1	2.6	Virginica
5.1	1.0	0.7	Setosa
6.1	1.5	0.1	Setosa
4.2	3.0	3.4	Setosa
7.3	5.7	2.8	Setosa
5.0	8.0	2.3	Virginica
4.6	4.4	2.4	Versicolor
5.5	5.5	2.2	Setosa
7.2	2.1	2.2	Setosa
5.7	7.1	2.0	Virginica
3.4	2.1	0.9	Setosa
4.7	6.3	5.8	Versicolor
6.0	7.9	2.3	Virginica
4.7	3.5	0.7	Setosa
5.3	7.9	3.0	Virginica
5.0	9.9	4.6	Virginica
5.8	5.3	1.3	Setosa
4.8	6.1	5.0	Versicolor
7.0	6.0	2.9	Virginica
2.9	8.2	2.5	Versicolor
7.0	4.9	0.7	Setosa
3.4	6.7	4.3	Versicolor
4.0	6.2	2.0	Versicolor
4.2	2.3	4.7	Setosa
4.0	1.9	4.8	Setosa
6.1	8.4	3.2	Versicolor
6.4	4.7	0.4	Setosa
4.5	5.9	0.1	Setosa
4.0	7.0	3.0	Versicolor
4.9	5.5	0.7	Setosa
6.8	4.4	0.9	Setosa
6.6	7.5	5.7	Versicolor
3.5	9.1	6.3	Virginica
3.4	4.6	0.2	Setosa
4.7	7.3	5.3	Virginica
5.3	8.8	1.9	Versicolor
6.2	3.0	1.2	Setosa
2.4	7.3	5.1	Versicolor
8.1	4.4	2.6	Setosa
7.3	3.4	4.2	Setosa
6.4	3.6	2.8	Versicolor
5.7	2.2	1.7	Setosa
3.9	6.1	3.9	Virginica
3.2	5.4	3.7	Setosa
4.0	4.7	1.2	Setosa
6.0	5.4	4.3	Setosa
6.4	2.9	3.7	Setosa
2.9	7.6	2.8	Virginica
6.7	5.9	2.7	Setosa
8.0	3.1	3.6	Setosa
4.5	4.9	4.4	Versicolor
3.9	4.4	3.2	Setosa
5.0	4.4	0.2	Setosa
5.4	8.8	2.3	Versicolor
4.8	9.2	2.6	Versicolor
6.7	10.4	4.8	Virginica
2.7	7.7	1.8	Versicolor
4.7	7.4	4.9	Versicolor
5.5	5.0	2.1	Versicolor
2.5	8.0	6.2	Virginica
4.3	5.6	3.9	Virginica
6.3	10.2	5.5	Virginica
3.9	8.0	5.1	Versicolor
6.2	8.5	1.0	Versicolor
4.2	4.7	2.4	Versicolor
7.6	6.4	1.5	Versicolor
4.4	5.8	0.4	Setosa
4.1	4.4	2.7	Setosa
3.0	5.6	1.6	Setosa
6.0	8.5	6.6	Virginica
2.7	8.5	4.0	Versicolor
6.4	7.5	3.0	Versicolor
5.8	8.5	2.8	Versicolor
