sepal.width	variety
5.3	Versicolor
6.9	Versicolor
3.1	Versicolor
5.4	Setosa
3.2	Versicolor
6.7	Versicolor
6.1	Virginica
4.9	Versicolor
8.1	Setosa
6.0	Setosa
6.0	Virginica
7.7	Versicolor
7.4	Setosa
6.1	Setosa
7.9	Setosa
6.9	Setosa
6.4	Versicolor
4.0	Versicolor
6.9	Versicolor
4.7	Versicolor
3.6	Virginica
4.0	Versicolor
4.4	Versicolor
6.4	Virginica
6.7	Versicolor
6.3	Versicolor
2.7	Versicolor
2.9	Versicolor
6.0	Setosa
4.8	Virginica
4.8	Setosa
3.2	Setosa
7.5	Setosa
8.0	Setosa
2.2	Virginica
6.0	Versicolor
5.9	Virginica
3.8	Virginica
4.3	Setosa
5.1	Versicolor
4.1	Setosa
4.3	Virginica
3.5	Virginica
3.5	Virginica
6.0	Setosa
6.4	Virginica
4.8	Virginica
8.2	Setosa
5.3	Versicolor
7.3	Versicolor
3.2	Virginica
6.9	Setosa
4.9	Versicolor
6.9	Setosa
5.4	Setosa
7.0	Virginica
5.0	Versicolor
6.0	Setosa
4.9	Setosa
8.3	Virginica
4.0	Virginica
6.0	Versicolor
5.3	Versicolor
2.5	Versicolor
7.5	Virginica
5.9	Versicolor
6.8	Versicolor
4.2	Setosa
7.2	Virginica
3.7	Virginica
4.5	Setosa
4.6	Setosa
6.7	Setosa
5.6	Virginica
7.0	Virginica
4.0	Virginica
7.0	Virginica
7.0	Versicolor
6.8	Setosa
4.5	Setosa
6.6	Versicolor
5.1	Setosa
7.3	Setosa
6.8	Versicolor
3.9	Setosa
3.2	Versicolor
3.2	Setosa
4.7	Virginica
5.7	Versicolor
5.0	Setosa
4.5	Setosa
4.5	Versicolor
3.5	Versicolor
4.5	Versicolor
6.7	Virginica
5.2	Virginica
6.4	Versicolor
8.3	Setosa
6.5	Virginica
2.6	Virginica
6.6	Setosa
7.2	Setosa
4.4	Setosa
5.6	Setosa
5.0	Virginica
