sepal.width	petal.length	variety
6.8	4.7	Setosa
3.8	8.6	Versicolor
3.8	8.5	Virginica
3.8	8.1	Virginica
3.8	8.6	Virginica
5.3	2.7	Setosa
6.6	4.9	Versicolor
4.4	3.6	Versicolor
5.8	6.2	Virginica
7.5	4.8	Setosa
3.3	6.1	Virginica
6.9	5.5	Versicolor
3.5	4.7	Versicolor
4.3	6.2	Versicolor
3.9	8.1	Versicolor
5.7	1.8	Setosa
7.6	4.7	Versicolor
3.7	2.3	Setosa
6.0	10.4	Virginica
7.4	7.4	Virginica
4.5	4.1	Setosa
6.6	3.0	Setosa
4.8	5.9	Setosa
3.4	3.7	Versicolor
4.7	4.5	Versicolor
6.6	4.9	Setosa
7.2	5.9	Virginica
7.2	5.6	Versicolor
3.5	2.4	Setosa
7.0	2.9	Setosa
7.3	8.2	Versicolor
6.3	3.1	Setosa
4.5	3.4	Setosa
3.7	5.7	Versicolor
6.4	5.9	Setosa
8.0	3.0	Setosa
5.9	3.0	Setosa
5.4	4.9	Setosa
4.4	2.4	Setosa
2.5	7.5	Versicolor
5.0	3.4	Setosa
6.0	8.5	Virginica
5.5	5.9	Versicolor
4.1	8.0	Versicolor
4.0	5.0	Versicolor
4.2	9.6	Virginica
5.2	5.9	Setosa
3.8	7.9	Virginica
6.3	7.0	Versicolor
5.7	5.5	Setosa
5.1	3.0	Setosa
6.0	8.7	Virginica
6.3	4.4	Setosa
6.0	8.0	Versicolor
7.7	5.1	Virginica
8.0	5.2	Setosa
5.8	5.5	Setosa
6.4	8.3	Versicolor
3.8	5.6	Virginica
4.4	4.0	Setosa
3.5	7.0	Virginica
3.7	4.9	Setosa
4.2	8.3	Versicolor
5.1	3.6	Setosa
5.1	4.9	Setosa
6.7	6.6	Versicolor
3.0	9.3	Virginica
5.9	7.6	Virginica
2.3	5.8	Versicolor
5.7	5.5	Versicolor
4.5	6.5	Versicolor
5.2	8.7	Versicolor
5.6	1.5	Setosa
3.4	9.3	Virginica
4.0	4.4	Versicolor
7.6	6.1	Virginica
3.7	6.0	Setosa
7.0	10.6	Virginica
4.2	6.1	Setosa
5.0	9.7	Virginica
6.5	7.9	Versicolor
5.4	5.1	Setosa
3.8	6.7	Virginica
6.5	6.5	Virginica
7.3	6.7	Virginica
5.9	2.1	Setosa
5.5	7.5	Virginica
3.2	7.8	Virginica
4.5	6.1	Versicolor
5.9	3.5	Setosa
4.8	7.0	Versicolor
7.0	2.3	Setosa
5.4	5.2	Versicolor
5.7	8.5	Virginica
6.0	7.0	Versicolor
5.2	7.0	Virginica
3.1	4.5	Versicolor
4.9	5.3	Versicolor
4.1	9.4	Virginica
3.1	5.6	Virginica
4.0	1.3	Setosa
7.6	8.6	Virginica
7.3	4.6	Versicolor
4.6	1.5	Setosa
3.8	10.9	Virginica
