sepal.width	variety
3.2	Versicolor
7.4	Versicolor
7.8	Virginica
5.5	Virginica
3.3	Virginica
4.2	Virginica
7.9	Setosa
3.9	Virginica
6.5	Versicolor
5.0	Virginica
7.7	Setosa
5.2	Virginica
4.3	Setosa
7.4	Virginica
3.9	Versicolor
6.0	Setosa
6.0	Versicolor
6.0	Virginica
2.7	Versicolor
5.8	Setosa
4.9	Versicolor
3.0	Versicolor
4.3	Versicolor
5.8	Setosa
2.9	Virginica
5.9	Versicolor
4.2	Versicolor
4.0	Versicolor
4.8	Setosa
6.0	Versicolor
4.4	Versicolor
3.7	Virginica
6.5	Versicolor
5.4	Setosa
8.0	Setosa
5.2	Setosa
5.8	Virginica
6.6	Versicolor
4.3	Virginica
6.3	Setosa
5.3	Virginica
3.5	Virginica
5.4	Versicolor
3.8	Versicolor
7.8	Virginica
4.7	Virginica
5.3	Versicolor
3.0	Versicolor
6.2	Setosa
7.1	Setosa
3.1	Versicolor
5.1	Versicolor
7.4	Setosa
3.0	Setosa
4.0	Setosa
3.7	Setosa
5.1	Virginica
3.2	Virginica
5.7	Virginica
4.7	Virginica
6.6	Virginica
5.5	Versicolor
6.0	Virginica
7.9	Setosa
4.8	Virginica
3.7	Versicolor
6.9	Setosa
5.0	Versicolor
5.2	Setosa
6.5	Virginica
4.0	Setosa
4.0	Versicolor
3.7	Setosa
2.5	Virginica
6.2	Setosa
8.9	Setosa
3.5	Virginica
3.6	Setosa
6.3	Setosa
4.8	Virginica
7.5	Setosa
6.0	Setosa
5.8	Versicolor
6.0	Virginica
6.6	Setosa
6.3	Versicolor
3.6	Virginica
6.0	Setosa
6.4	Virginica
6.3	Versicolor
5.0	Virginica
3.3	Versicolor
4.1	Virginica
4.4	Setosa
4.4	Setosa
5.2	Setosa
4.7	Versicolor
3.5	Setosa
5.3	Virginica
5.3	Versicolor
7.1	Setosa
7.2	Versicolor
6.1	Setosa
5.5	Setosa
5.6	Versicolor
