sepal.length	sepal.width	petal.length	variety
5.4	5.7	5.8	Setosa
9.3	7.2	8.4	Virginica
10.9	2.7	9.3	Virginica
10.3	7.3	8.2	Versicolor
4.9	4.6	5.9	Setosa
9.4	8.3	7.9	Virginica
8.5	2.9	8.3	Versicolor
7.1	6.1	4.5	Setosa
5.3	6.9	6.1	Setosa
6.3	6.5	3.4	Setosa
5.0	4.8	3.4	Setosa
8.0	4.5	5.6	Setosa
8.7	6.6	4.7	Versicolor
6.9	4.9	5.2	Setosa
5.2	6.0	4.0	Setosa
10.9	7.4	5.8	Versicolor
8.7	5.6	5.6	Virginica
9.3	5.6	3.1	Setosa
7.7	4.4	4.8	Versicolor
8.4	6.1	7.9	Virginica
6.6	4.7	3.0	Setosa
8.6	3.2	1.4	Setosa
9.0	6.0	4.3	Setosa
6.7	3.6	6.0	Versicolor
8.1	6.3	6.5	Versicolor
6.3	2.5	8.5	Virginica
12.2	7.0	6.1	Virginica
7.3	6.3	8.1	Virginica
10.7	4.1	11.4	Virginica
11.4	3.1	6.1	Virginica
9.5	6.9	1.6	Setosa
10.6	6.4	4.6	Versicolor
7.8	3.0	6.5	Virginica
9.8	5.2	6.1	Virginica
7.8	5.3	9.5	Virginica
10.2	6.3	7.7	Virginica
10.1	5.9	5.1	Versicolor
7.2	6.0	5.0	Virginica
6.2	2.7	7.4	Versicolor
9.3	6.7	4.0	Setosa
6.2	5.4	2.0	Setosa
5.1	6.4	2.4	Setosa
7.0	4.1	5.4	Setosa
5.9	5.9	4.8	Setosa
9.5	4.9	5.2	Versicolor
6.8	5.9	8.1	Virginica
5.6	4.3	3.4	Setosa
7.8	4.3	4.4	Versicolor
7.6	3.8	8.4	Virginica
8.9	7.2	2.0	Setosa
8.3	4.7	6.4	Virginica
11.2	6.3	7.2	Virginica
6.7	6.3	5.0	Versicolor
8.3	6.0	8.9	Versicolor
7.0	4.2	2.2	Setosa
6.7	4.0	5.7	Virginica
5.9	4.0	5.1	Virginica
10.9	5.7	5.0	Versicolor
6.7	7.9	7.4	Virginica
9.4	4.8	10.1	Virginica
10.7	4.8	6.8	Virginica
7.7	2.8	8.7	Virginica
9.4	6.0	8.5	Virginica
10.1	7.0	4.9	Virginica
8.8	3.1	4.5	Versicolor
7.1	8.3	3.0	Setosa
11.7	7.2	9.0	Virginica
6.1	3.5	9.1	Versicolor
8.0	3.2	6.5	Versicolor
5.6	7.4	4.0	Setosa
10.5	4.0	8.2	Virginica
10.0	2.2	9.0	Virginica
9.1	7.0	7.1	Virginica
6.0	6.0	2.8	Setosa
8.0	3.7	5.1	Virginica
8.2	5.3	7.6	Versicolor
6.1	8.1	4.5	Setosa
9.0	4.9	7.0	Versicolor
7.4	7.0	5.0	Versicolor
6.6	6.0	3.4	Setosa
8.9	6.7	8.3	Versicolor
7.5	6.3	6.8	Versicolor
8.9	6.7	7.2	Virginica
9.8	5.7	4.6	Versicolor
7.1	7.5	3.4	Setosa
9.6	7.3	5.2	Setosa
9.8	4.7	4.4	Versicolor
9.7	3.5	9.8	Virginica
8.0	7.0	3.1	Setosa
10.6	7.0	8.4	Versicolor
6.8	3.2	7.6	Virginica
9.7	6.4	6.2	Versicolor
10.0	5.0	6.0	Virginica
4.8	7.9	1.9	Setosa
7.2	7.2	3.6	Setosa
9.6	4.9	7.2	Versicolor
6.1	3.8	2.6	Setosa
10.1	3.2	8.2	Versicolor
10.5	5.0	9.8	Virginica
6.1	2.6	6.1	Virginica
6.7	6.1	5.4	Versicolor
9.2	3.6	6.1	Virginica
9.8	6.4	10.1	Virginica
6.9	5.2	8.8	Virginica
7.2	5.5	7.7	Versicolor
