petal.length	variety
7.8	Virginica
6.1	Versicolor
6.3	Versicolor
11.2	Virginica
4.0	Versicolor
2.6	Setosa
6.2	Virginica
6.7	Versicolor
5.5	Versicolor
1.7	Setosa
5.3	Virginica
3.4	Setosa
4.9	Virginica
5.6	Virginica
8.6	Virginica
2.7	Setosa
3.9	Setosa
4.5	Versicolor
5.2	Virginica
1.6	Setosa
7.8	Virginica
6.1	Virginica
6.1	Virginica
5.0	Virginica
5.4	Setosa
3.7	Setosa
2.9	Setosa
8.0	Virginica
7.0	Virginica
5.7	Versicolor
9.6	Virginica
9.6	Virginica
8.5	Versicolor
6.0	Setosa
9.6	Virginica
9.3	Virginica
6.8	Versicolor
2.0	Setosa
4.1	Versicolor
6.4	Virginica
6.4	Setosa
8.0	Versicolor
3.5	Setosa
2.6	Setosa
9.4	Virginica
5.4	Versicolor
2.4	Setosa
5.8	Versicolor
9.9	Virginica
5.4	Versicolor
9.6	Virginica
5.8	Versicolor
5.0	Virginica
1.5	Setosa
7.0	Versicolor
4.9	Versicolor
7.9	Versicolor
10.0	Virginica
8.5	Virginica
4.1	Versicolor
6.0	Setosa
7.7	Virginica
7.8	Virginica
7.7	Versicolor
2.4	Setosa
3.7	Setosa
5.3	Setosa
3.3	Setosa
7.6	Versicolor
4.5	Versicolor
9.2	Versicolor
6.6	Virginica
6.8	Versicolor
7.6	Versicolor
2.0	Setosa
5.8	Setosa
2.6	Setosa
6.0	Versicolor
9.4	Versicolor
5.2	Setosa
7.0	Virginica
2.5	Setosa
5.7	Virginica
5.0	Versicolor
5.2	Versicolor
4.2	Versicolor
5.4	Virginica
5.7	Setosa
8.5	Versicolor
10.0	Virginica
6.6	Virginica
3.4	Setosa
4.4	Setosa
5.5	Virginica
3.4	Setosa
4.8	Versicolor
1.9	Setosa
7.3	Virginica
7.2	Versicolor
4.8	Versicolor
4.7	Versicolor
4.5	Setosa
7.9	Versicolor
9.2	Virginica
7.9	Virginica
