sepal.width	petal.length	petal.width	variety
7.2	2.8	1.2	Setosa
5.0	4.6	5.8	Versicolor
5.8	4.5	3.8	Versicolor
3.8	10.5	7.0	Virginica
3.0	6.6	5.3	Virginica
5.5	6.5	4.6	Virginica
4.0	4.8	2.8	Virginica
5.3	5.5	2.3	Setosa
4.1	4.5	4.7	Versicolor
7.3	5.3	3.4	Versicolor
4.2	1.4	0.2	Setosa
7.1	6.1	2.7	Setosa
7.2	6.9	4.7	Versicolor
6.2	6.5	4.0	Versicolor
5.4	9.0	5.5	Versicolor
6.0	6.0	5.0	Versicolor
7.8	2.1	4.7	Setosa
6.5	8.0	4.7	Virginica
3.8	8.6	5.0	Virginica
2.7	8.2	2.3	Versicolor
8.0	1.4	0.7	Setosa
4.5	4.9	5.5	Versicolor
3.2	1.7	3.2	Setosa
5.8	7.7	5.0	Virginica
4.7	9.1	4.0	Virginica
4.2	5.5	1.9	Setosa
6.4	5.2	2.3	Versicolor
4.4	8.4	5.3	Virginica
5.8	11.2	5.7	Virginica
5.2	4.1	2.5	Versicolor
4.9	4.2	2.7	Setosa
4.8	2.9	3.9	Setosa
8.2	3.5	0.2	Setosa
5.1	9.1	5.9	Virginica
5.1	4.0	4.1	Setosa
4.1	4.4	2.2	Setosa
4.9	8.3	1.8	Versicolor
4.3	6.1	5.1	Virginica
3.9	6.1	2.4	Setosa
6.2	4.9	4.8	Virginica
3.7	8.8	4.3	Versicolor
5.3	1.3	0.8	Setosa
4.3	6.6	4.0	Versicolor
6.6	4.9	5.9	Versicolor
3.6	7.6	5.4	Virginica
4.0	6.6	4.1	Virginica
5.3	3.8	3.5	Versicolor
4.5	4.9	0.2	Setosa
5.5	1.6	1.7	Setosa
4.5	3.8	0.3	Setosa
6.6	6.9	3.5	Versicolor
4.0	1.4	4.3	Setosa
3.5	7.5	5.9	Virginica
8.0	6.1	1.1	Setosa
6.7	5.1	5.4	Virginica
4.3	9.7	6.6	Virginica
4.2	7.7	4.3	Virginica
3.4	5.9	4.7	Setosa
6.7	5.3	3.2	Setosa
3.4	3.4	4.8	Setosa
4.7	5.6	6.4	Virginica
5.6	9.5	5.8	Virginica
5.9	7.6	6.3	Virginica
3.6	4.5	4.5	Versicolor
6.8	5.1	1.8	Versicolor
4.8	8.6	2.2	Virginica
7.8	3.2	4.3	Setosa
8.1	10.1	3.5	Virginica
8.0	5.2	0.7	Setosa
7.1	4.0	3.2	Setosa
6.0	7.9	3.1	Virginica
4.0	1.5	3.2	Setosa
6.2	9.5	2.8	Virginica
6.7	6.8	6.3	Virginica
3.0	8.0	1.8	Virginica
5.9	2.6	4.2	Setosa
6.4	3.4	3.7	Setosa
6.0	4.8	2.2	Setosa
5.1	6.7	2.5	Versicolor
7.8	1.9	3.2	Setosa
7.2	9.9	5.8	Virginica
7.5	4.7	2.0	Versicolor
6.0	8.0	4.0	Versicolor
6.0	4.9	3.1	Setosa
4.7	5.1	3.2	Setosa
3.5	5.2	4.8	Virginica
5.9	6.0	2.9	Setosa
6.3	6.2	6.5	Virginica
5.9	9.1	5.8	Versicolor
5.8	10.6	6.4	Virginica
6.3	6.2	2.6	Versicolor
6.1	4.5	0.1	Setosa
3.0	7.0	6.0	Virginica
6.2	1.9	0.2	Setosa
7.0	7.7	1.2	Versicolor
5.2	7.5	1.5	Virginica
8.0	4.9	2.3	Setosa
3.3	4.9	2.0	Virginica
7.6	6.4	3.1	Virginica
6.1	9.6	5.3	Virginica
6.8	5.0	2.3	Versicolor
5.0	5.7	2.0	Virginica
2.3	8.9	2.3	Versicolor
5.9	4.8	1.9	Setosa
4.4	4.3	5.0	Versicolor
