petal.length	petal.width	variety
6.5	1.3	Versicolor
2.9	3.2	Setosa
6.5	2.5	Versicolor
5.4	4.8	Virginica
4.6	1.2	Setosa
7.1	5.1	Virginica
5.0	2.2	Versicolor
5.4	4.2	Versicolor
7.8	3.7	Virginica
8.1	6.0	Virginica
1.8	1.7	Setosa
6.0	2.9	Virginica
7.1	2.6	Virginica
1.4	0.7	Setosa
4.7	3.3	Setosa
8.5	5.7	Versicolor
5.8	1.8	Virginica
5.6	3.8	Versicolor
7.8	6.1	Virginica
8.7	5.9	Versicolor
1.0	0.7	Setosa
7.7	4.2	Versicolor
5.0	4.2	Setosa
1.3	4.2	Setosa
1.7	4.2	Setosa
9.1	3.2	Virginica
10.0	3.0	Virginica
1.4	2.1	Setosa
4.6	3.4	Versicolor
1.9	2.7	Setosa
3.5	1.7	Setosa
8.9	3.9	Versicolor
4.7	3.9	Versicolor
6.4	3.6	Virginica
2.0	2.4	Setosa
5.4	3.8	Virginica
3.3	2.5	Versicolor
4.1	2.1	Setosa
9.5	2.3	Virginica
2.9	2.6	Setosa
8.5	2.0	Virginica
7.2	5.0	Versicolor
5.8	4.3	Virginica
6.1	2.0	Versicolor
9.8	4.4	Virginica
6.1	3.9	Virginica
8.6	6.4	Virginica
7.8	5.8	Virginica
7.5	4.1	Versicolor
8.6	3.9	Virginica
8.7	3.5	Virginica
5.0	6.0	Virginica
8.5	4.5	Versicolor
6.1	1.4	Virginica
1.8	3.8	Setosa
5.9	4.3	Virginica
3.4	3.2	Setosa
4.1	3.0	Versicolor
1.5	0.6	Setosa
5.9	4.7	Versicolor
2.0	4.9	Setosa
2.6	1.2	Setosa
8.8	1.3	Versicolor
4.0	5.5	Versicolor
5.1	2.0	Virginica
3.4	2.7	Setosa
4.0	3.7	Setosa
6.1	6.8	Virginica
6.2	6.0	Virginica
3.0	4.3	Setosa
4.0	1.7	Setosa
9.6	3.9	Virginica
3.6	2.8	Versicolor
5.2	2.5	Versicolor
6.5	5.3	Versicolor
7.3	4.3	Virginica
7.1	6.5	Virginica
5.9	4.2	Setosa
5.3	3.6	Versicolor
7.9	6.3	Virginica
5.1	3.2	Setosa
9.0	1.5	Versicolor
7.1	6.3	Virginica
4.9	2.8	Setosa
2.1	2.1	Setosa
9.7	2.8	Virginica
5.7	0.2	Setosa
5.8	3.2	Setosa
4.8	3.8	Versicolor
1.4	4.7	Setosa
4.8	2.5	Versicolor
5.4	2.9	Versicolor
7.4	4.5	Versicolor
3.9	3.7	Setosa
2.0	2.4	Setosa
8.9	6.8	Virginica
6.9	3.0	Virginica
8.6	1.6	Versicolor
7.2	2.3	Virginica
7.2	1.2	Versicolor
10.7	3.7	Virginica
8.5	4.0	Versicolor
4.1	0.7	Setosa
5.7	5.8	Versicolor
5.4	1.6	Versicolor
