petal.width	variety
2.2	Setosa
5.8	Versicolor
6.1	Virginica
2.1	Versicolor
6.3	Virginica
3.2	Setosa
5.8	Virginica
4.8	Versicolor
0.9	Setosa
4.2	Setosa
4.2	Setosa
4.2	Setosa
1.2	Setosa
4.9	Virginica
3.7	Virginica
5.8	Virginica
0.7	Setosa
3.7	Setosa
3.5	Virginica
5.2	Virginica
1.2	Versicolor
3.6	Virginica
2.5	Virginica
1.7	Setosa
5.1	Virginica
2.7	Setosa
5.3	Versicolor
4.5	Virginica
2.8	Virginica
0.2	Setosa
3.4	Versicolor
5.5	Virginica
3.8	Versicolor
5.0	Versicolor
2.7	Setosa
4.0	Virginica
2.3	Setosa
3.5	Versicolor
6.0	Versicolor
4.8	Virginica
4.7	Versicolor
4.3	Setosa
2.7	Setosa
4.4	Versicolor
4.2	Versicolor
2.6	Versicolor
5.0	Versicolor
1.4	Setosa
4.9	Virginica
1.2	Setosa
4.5	Versicolor
4.3	Virginica
4.0	Setosa
1.7	Setosa
1.6	Setosa
3.5	Versicolor
2.3	Versicolor
3.4	Virginica
4.8	Virginica
4.6	Virginica
4.7	Setosa
0.4	Setosa
0.6	Setosa
2.5	Virginica
5.4	Virginica
4.8	Virginica
4.6	Versicolor
5.8	Versicolor
5.3	Virginica
2.6	Virginica
2.5	Versicolor
2.2	Setosa
3.7	Setosa
1.5	Versicolor
3.7	Virginica
1.3	Versicolor
3.5	Versicolor
4.2	Setosa
1.8	Setosa
3.2	Setosa
6.3	Virginica
1.7	Setosa
1.3	Setosa
3.2	Versicolor
4.3	Virginica
2.4	Versicolor
4.3	Versicolor
0.7	Setosa
5.3	Versicolor
2.4	Virginica
0.6	Setosa
6.8	Virginica
3.9	Virginica
3.3	Versicolor
1.9	Virginica
4.4	Setosa
3.5	Versicolor
1.6	Versicolor
4.4	Virginica
3.9	Versicolor
2.0	Versicolor
3.9	Versicolor
4.2	Versicolor
6.8	Virginica
3.9	Setosa
