petal.width	variety
2.7	Setosa
3.5	Virginica
0.2	Setosa
3.2	Setosa
4.1	Setosa
5.8	Versicolor
4.9	Virginica
3.7	Setosa
4.0	Virginica
0.4	Setosa
4.8	Virginica
1.3	Versicolor
3.8	Virginica
3.7	Setosa
3.2	Virginica
3.1	Versicolor
2.7	Setosa
5.4	Versicolor
2.7	Setosa
6.0	Versicolor
5.0	Virginica
3.2	Versicolor
6.3	Virginica
5.3	Versicolor
2.5	Versicolor
3.7	Versicolor
4.2	Setosa
5.9	Versicolor
5.4	Versicolor
1.2	Versicolor
3.2	Setosa
5.8	Virginica
2.0	Versicolor
5.3	Versicolor
2.3	Virginica
3.0	Versicolor
6.4	Virginica
3.6	Virginica
2.6	Versicolor
4.8	Virginica
4.8	Versicolor
3.8	Versicolor
4.1	Virginica
0.1	Setosa
1.1	Setosa
2.5	Versicolor
5.5	Virginica
0.7	Setosa
3.2	Setosa
4.4	Setosa
0.6	Setosa
1.4	Setosa
3.5	Versicolor
0.7	Setosa
2.8	Versicolor
4.1	Virginica
2.0	Versicolor
3.7	Setosa
3.3	Setosa
2.3	Versicolor
1.2	Setosa
1.7	Setosa
3.7	Versicolor
6.8	Virginica
1.7	Setosa
1.5	Versicolor
2.9	Virginica
1.7	Setosa
1.1	Setosa
3.0	Versicolor
2.4	Versicolor
4.7	Setosa
4.5	Versicolor
2.7	Setosa
1.8	Setosa
1.8	Virginica
3.3	Setosa
4.0	Versicolor
3.8	Virginica
3.0	Versicolor
2.3	Versicolor
5.6	Virginica
6.0	Versicolor
2.8	Virginica
3.9	Virginica
4.3	Versicolor
6.0	Virginica
1.8	Virginica
5.1	Versicolor
4.3	Setosa
4.1	Virginica
2.4	Setosa
5.2	Versicolor
3.4	Virginica
1.3	Setosa
2.4	Versicolor
1.9	Virginica
3.7	Versicolor
2.6	Versicolor
6.0	Virginica
6.0	Virginica
1.8	Setosa
3.5	Versicolor
3.1	Versicolor
6.0	Virginica
