sepal.length	variety
8.0	Setosa
8.5	Virginica
5.9	Virginica
6.3	Versicolor
9.0	Versicolor
8.6	Virginica
7.8	Virginica
9.4	Setosa
10.0	Setosa
8.3	Versicolor
6.6	Setosa
7.8	Setosa
6.4	Setosa
8.8	Virginica
8.8	Virginica
9.7	Setosa
9.8	Virginica
4.8	Setosa
5.5	Setosa
9.5	Setosa
7.0	Setosa
5.9	Setosa
4.7	Setosa
4.4	Setosa
11.4	Versicolor
9.9	Virginica
7.4	Virginica
7.7	Virginica
10.3	Virginica
5.6	Setosa
7.6	Setosa
9.9	Virginica
7.2	Virginica
4.8	Setosa
7.0	Versicolor
8.5	Setosa
6.6	Versicolor
6.5	Versicolor
9.8	Virginica
8.9	Virginica
8.8	Versicolor
5.4	Versicolor
4.9	Virginica
6.6	Versicolor
9.7	Virginica
7.0	Versicolor
9.7	Versicolor
6.2	Virginica
5.7	Versicolor
5.8	Setosa
6.1	Virginica
10.3	Virginica
7.4	Setosa
8.2	Virginica
8.8	Versicolor
5.1	Setosa
9.5	Setosa
7.2	Virginica
8.7	Versicolor
8.5	Virginica
5.9	Setosa
6.1	Versicolor
7.6	Virginica
6.7	Virginica
8.7	Virginica
7.2	Setosa
8.8	Setosa
6.0	Versicolor
9.6	Versicolor
10.4	Versicolor
6.8	Versicolor
7.1	Versicolor
8.2	Versicolor
8.4	Virginica
10.0	Virginica
7.0	Versicolor
9.0	Virginica
5.9	Setosa
9.6	Versicolor
6.6	Setosa
5.1	Setosa
7.0	Versicolor
6.7	Versicolor
5.7	Versicolor
5.6	Setosa
6.5	Versicolor
9.9	Versicolor
7.8	Setosa
9.4	Virginica
9.6	Virginica
7.4	Versicolor
7.9	Virginica
10.3	Versicolor
9.9	Versicolor
10.7	Versicolor
9.3	Versicolor
6.3	Virginica
5.5	Setosa
8.6	Setosa
8.2	Setosa
8.2	Virginica
10.2	Virginica
8.7	Virginica
6.1	Setosa
7.1	Versicolor
