petal.length	petal.width	variety
2.4	0.8	Setosa
9.2	4.7	Virginica
2.8	4.7	Setosa
6.6	2.3	Virginica
7.3	3.6	Versicolor
4.4	2.7	Setosa
9.6	5.0	Virginica
5.7	2.7	Setosa
8.7	2.0	Versicolor
3.9	2.8	Setosa
9.8	3.1	Virginica
9.6	3.4	Virginica
1.4	0.7	Setosa
6.5	3.0	Versicolor
5.2	4.9	Setosa
8.4	4.0	Virginica
6.0	2.9	Virginica
5.5	2.9	Setosa
6.7	5.5	Versicolor
9.1	4.9	Virginica
6.7	4.2	Versicolor
7.0	5.5	Virginica
6.9	4.2	Versicolor
8.9	1.8	Virginica
2.9	1.2	Setosa
3.4	1.2	Setosa
2.5	4.7	Setosa
7.0	1.1	Versicolor
5.6	4.6	Setosa
5.5	1.6	Setosa
6.6	3.0	Virginica
5.9	2.2	Setosa
4.9	0.8	Setosa
5.8	3.0	Versicolor
5.1	4.1	Setosa
3.6	2.2	Setosa
3.9	2.9	Versicolor
7.0	3.5	Versicolor
1.5	1.3	Setosa
5.8	2.3	Versicolor
5.5	4.2	Versicolor
4.0	0.1	Setosa
3.1	4.9	Setosa
5.7	5.6	Virginica
9.2	5.5	Virginica
4.9	2.6	Setosa
10.2	2.8	Virginica
9.3	4.9	Virginica
7.0	4.1	Virginica
4.7	1.2	Setosa
4.4	2.2	Setosa
8.4	3.5	Versicolor
8.6	4.1	Versicolor
5.7	2.7	Setosa
9.4	2.0	Versicolor
5.0	0.2	Setosa
9.0	4.7	Versicolor
4.3	3.4	Setosa
8.6	5.9	Virginica
8.1	3.3	Virginica
3.9	1.6	Setosa
3.7	1.0	Setosa
2.4	3.7	Setosa
5.2	1.3	Versicolor
9.1	6.0	Versicolor
6.1	4.9	Virginica
9.5	5.0	Virginica
7.6	5.5	Virginica
6.0	4.5	Versicolor
8.1	4.8	Virginica
4.6	4.3	Versicolor
7.0	1.5	Versicolor
8.9	5.0	Virginica
7.5	5.0	Virginica
1.8	3.8	Setosa
4.0	0.2	Setosa
3.0	0.9	Setosa
7.9	5.8	Versicolor
6.1	0.2	Setosa
1.8	1.2	Setosa
7.3	2.8	Virginica
3.5	1.7	Setosa
6.1	3.3	Virginica
7.7	4.7	Versicolor
6.4	5.9	Versicolor
4.7	4.0	Versicolor
6.3	5.3	Versicolor
6.8	1.4	Versicolor
7.8	6.8	Virginica
9.5	3.8	Virginica
4.7	2.9	Versicolor
2.5	1.7	Setosa
8.0	6.3	Virginica
5.3	4.3	Virginica
8.7	1.3	Versicolor
5.2	2.3	Virginica
5.4	5.1	Virginica
3.3	0.2	Setosa
8.5	3.8	Versicolor
5.3	4.3	Versicolor
5.1	2.2	Setosa
8.7	2.1	Versicolor
5.9	1.8	Virginica
3.9	3.6	Versicolor
5.6	1.4	Versicolor
